County,Date,NewCases,NewPositiveTests,TotalTestEncounters
Hawaii,2/15/20,0,0,0
Hawaii,2/28/20,0,0,0
Hawaii,3/2/20,0,0,0
Hawaii,3/3/20,0,0,1
Hawaii,3/6/20,0,0,0
Hawaii,3/7/20,0,0,0
Hawaii,3/8/20,0,0,0
Hawaii,3/9/20,0,0,0
Hawaii,3/10/20,0,0,0
Hawaii,3/11/20,0,0,0
Hawaii,3/12/20,0,0,3
Hawaii,3/13/20,0,0,3
Hawaii,3/14/20,0,0,6
Hawaii,3/15/20,0,0,19
Hawaii,3/16/20,0,0,29
Hawaii,3/17/20,1,1,31
Hawaii,3/18/20,0,0,22
Hawaii,3/19/20,0,0,59
Hawaii,3/20/20,2,2,84
Hawaii,3/21/20,0,0,73
Hawaii,3/22/20,1,2,136
Hawaii,3/23/20,1,0,95
Hawaii,3/24/20,0,0,22
Hawaii,3/25/20,1,0,27
Hawaii,3/26/20,2,2,124
Hawaii,3/27/20,5,5,290
Hawaii,3/28/20,4,5,242
Hawaii,3/29/20,1,1,53
Hawaii,3/30/20,0,0,31
Hawaii,3/31/20,3,2,236
Hawaii,4/1/20,0,0,138
Hawaii,4/2/20,2,2,103
Hawaii,4/3/20,2,2,160
Hawaii,4/4/20,0,0,41
Hawaii,4/5/20,1,0,139
Hawaii,4/6/20,1,1,59
Hawaii,4/7/20,3,3,51
Hawaii,4/8/20,0,0,26
Hawaii,4/9/20,1,1,153
Hawaii,4/10/20,3,3,194
Hawaii,4/11/20,5,3,114
Hawaii,4/12/20,1,2,67
Hawaii,4/13/20,1,2,18
Hawaii,4/14/20,0,0,34
Hawaii,4/15/20,0,0,32
Hawaii,4/16/20,3,3,68
Hawaii,4/17/20,16,16,302
Hawaii,4/18/20,2,2,92
Hawaii,4/19/20,2,2,90
Hawaii,4/20/20,0,0,47
Hawaii,4/21/20,3,4,128
Hawaii,4/22/20,1,0,70
Hawaii,4/23/20,1,2,209
Hawaii,4/24/20,0,1,145
Hawaii,4/25/20,1,1,71
Hawaii,4/26/20,0,0,16
Hawaii,4/27/20,0,0,24
Hawaii,4/28/20,0,0,186
Hawaii,4/29/20,3,3,70
Hawaii,4/30/20,0,0,240
Hawaii,5/1/20,0,0,127
Hawaii,5/2/20,1,1,123
Hawaii,5/3/20,1,1,96
Hawaii,5/4/20,0,0,80
Hawaii,5/5/20,0,0,103
Hawaii,5/6/20,0,0,58
Hawaii,5/7/20,0,0,199
Hawaii,5/8/20,0,0,102
Hawaii,5/9/20,0,0,180
Hawaii,5/10/20,0,0,13
Hawaii,5/11/20,0,0,78
Hawaii,5/12/20,0,0,99
Hawaii,5/13/20,0,1,158
Hawaii,5/14/20,0,0,174
Hawaii,5/15/20,1,0,167
Hawaii,5/16/20,1,2,152
Hawaii,5/17/20,0,0,52
Hawaii,5/18/20,1,1,101
Hawaii,5/19/20,0,0,197
Hawaii,5/20/20,3,3,160
Hawaii,5/21/20,0,0,178
Hawaii,5/22/20,0,0,192
Hawaii,5/23/20,0,0,185
Hawaii,5/24/20,0,0,40
Hawaii,5/25/20,0,0,76
Hawaii,5/26/20,0,0,43
Hawaii,5/27/20,0,0,111
Hawaii,5/28/20,0,0,145
Hawaii,5/29/20,0,0,135
Hawaii,5/30/20,0,0,143
Hawaii,5/31/20,0,0,30
Hawaii,6/1/20,0,0,128
Hawaii,6/2/20,0,0,588
Hawaii,6/3/20,0,0,899
Hawaii,6/4/20,0,0,379
Hawaii,6/5/20,0,0,273
Hawaii,6/6/20,0,0,213
Hawaii,6/7/20,0,0,58
Hawaii,6/8/20,0,0,27
Hawaii,6/9/20,0,0,260
Hawaii,6/10/20,0,0,130
Hawaii,6/11/20,0,0,192
Hawaii,6/12/20,0,0,135
Hawaii,6/13/20,1,1,239
Hawaii,6/14/20,0,0,46
Hawaii,6/15/20,0,0,76
Hawaii,6/16/20,1,1,410
Hawaii,6/17/20,0,0,194
Hawaii,6/18/20,0,0,107
Hawaii,6/19/20,0,0,265
