Bib,Name,Miles,KM,May 1,May 2,May 3,May 4,May 5,May 6,May 7,May 8,May 9,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31
17395,Gingerbread Man,1395.4,2245.7,83,43,49,52,49,58,51,61,43,52,94,6,11,25,28,30,40,37,51,51,53,51,50,50,60,47,49,0,0,0,11
11355,Matthew Jenkins,1394.4,2244.1,32,5,30,37,38,39,41,43,30,40,45,47,44,47,46,48,46,44,46,41,44,46,42,47,49,48,47,51,53,55,0
1074,Terri Biloski,1303.6,2098.0,63,59,52,52,49,58,51,49,55,52,52,43,7,15,13,37,36,31,27,37,33,23,54,23,36,37,37,37,42,63,45
743,John Sharp,1289.5,2075.3,34,41,46,54,60,62,60,55,49,59,59,56,16,25,28,30,40,37,51,51,53,51,50,50,60,47,49,0,0,0,11
6211,Claudia Burrough,1277.6,2056.1,6,21,35,34,32,31,32,37,37,39,43,37,100,62,50,41,0,39,19,26,43,12,40,47,100,4,17,37,37,39,22
386,Roc Powell,1243.0,2000.4,35,75,63,43,10,83,65,28,68,68,48,54,8,22,26,11,6,68,42,42,22,12,6,42,102,6,6,4,12,28,22
7177,Andres Villagran,1131.5,1821.0,6,0,2,0,10,22,31,37,47,25,43,46,40,42,48,48,42,43,44,58,27,47,39,39,30,40,39,37,37,37,42
3117,Couch Potato,1097.2,1765.7,50,33,32,24,25,24,51,25,48,30,26,26,26,22,52,36,45,35,28,15,25,27,33,52,33,29,28,31,27,38,32
4164,Lisa DeVona,1085.7,1747.3,24,24,24,48,25,25,28,28,28,32,28,30,31,31,31,31,41,33,35,58,24,37,41,11,36,30,32,32,32,50,50
6780,claire bannwarth,1065.7,1715.0,21,21,21,21,22,22,22,22,22,22,34,37,38,34,34,58,28,34,33,34,39,35,0,62,35,35,35,35,35,35,37
18059,Joe Schlereth,1035.8,1666.9,35,16,14,17,18,18,23,18,35,28,24,29,29,36,30,40,31,34,34,35,36,35,41,21,30,38,24,37,32,44,37
1466,Derek Tinnin,1024.0,1647.9,40,40,40,30,41,30,23,40,51,20,44,40,41,30,43,41,40,0,0,27,25,21,21,23,26,30,35,43,31,42,42
17941,Stefania Gabriela Iaciu,996.1,1603.1,5,89,47,2,9,7,4,10,30,38,17,45,9,41,8,41,37,17,47,21,47,75,13,13,14,13,13,15,19,24,17
1429,Dave Proctor,978.5,1574.7,62,62,5,62,63,63,64,63,0,32,31,33,35,31,33,0,32,0,62,0,0,32,0,17,32,19,0,32,0,32,19
4893,Yohei Yamanomoto,967.5,1557.0,25,12,9,25,29,25,17,22,22,25,22,40,47,21,32,31,29,31,50,23,62,37,0,28,28,28,43,31,31,27,25
2178,Thomas Douglas,960.2,1545.3,31,22,12,24,15,24,16,39,28,14,35,24,31,19,34,27,21,33,27,38,24,37,34,27,35,33,32,24,36,36,27
4019,Ray Krolewicz,956.1,1538.7,34,22,24,28,27,31,28,27,50,28,27,31,32,33,34,35,40,36,32,38,19,21,20,50,20,20,20,20,21,25,14
1940,Masatake Yamamoto,906.7,1459.3,23,27,23,25,25,25,25,26,26,27,27,26,26,28,29,28,29,29,29,29,29,29,29,29,29,29,28,9,29,25,28
414,Andrea Mehner,887.2,1427.8,32,32,30,16,19,19,19,26,39,39,16,26,29,32,31,44,44,23,33,26,62,0,28,22,15,19,19,19,19,26,31
9715,Andrew Glaze,879.3,1415.1,34,15,16,31,28,19,23,16,16,31,25,33,33,16,16,31,46,33,23,18,20,31,44,24,27,20,20,20,34,40,37
84,Ximena Kriete,865.2,1392.3,20,15,18,16,16,18,13,11,62,8,21,27,27,37,31,23,18,24,31,32,35,29,35,28,32,16,22,35,26,40,16
5187,Jill McCann,858.3,1381.2,16,20,18,15,20,15,14,16,19,22,18,20,17,20,20,56,14,25,20,38,28,31,46,14,20,33,35,30,50,50,10
1522,Zach Franklin,846.6,1362.4,27,26,100,5,14,27,30,34,34,22,38,32,45,43,42,52,49,16,3,10,4,11,17,11,10,11,13,15,27,26,26
721,Maureen Randall,839.2,1350.5,25,31,50,18,22,46,31,18,100,15,21,31,35,11,20,63,12,0,16,14,14,12,41,20,28,40,22,8,24,16,21
14758,Alyssa Clark,836.3,1345.8,0,0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
2279,Melissa Surman,835.8,1345.1,26,25,30,32,32,26,30,27,33,30,23,34,30,31,33,36,24,16,41,38,37,0,0,17,16,15,22,20,17,34,26
9076,Aaron Francey,830.7,1336.8,10,19,13,16,25,27,30,27,32,32,42,34,30,38,40,37,33,38,67,45,3,1,17,8,24,25,22,12,18,32,14
3783,Alexey Popov,830.0,1335.7,21,24,22,21,21,22,22,24,24,26,26,26,26,29,27,25,29,26,27,22,23,23,33,28,22,23,23,23,23,23,28
138,Renee Guthrie,820.6,1320.6,11,31,10,18,15,20,17,20,31,20,20,18,22,21,20,26,24,20,20,20,20,16,75,45,30,0,31,20,30,40,34
6283,Ramin Madani,810.8,1304.8,33,30,17,40,12,67,11,40,28,28,11,57,44,35,28,43,22,48,28,0,0,0,1,14,2,3,9,11,14,19,28
6608,Collette O'Hagan,810.4,1304.2,20,20,21,20,21,21,22,22,26,30,24,25,27,27,28,27,26,27,27,24,26,24,27,25,26,21,21,21,22,24,22
14280,Gerben Oevermans.,804.8,1295.2,0,26,41,17,26,19,22,23,39,36,24,22,24,18,27,62,37,19,26,26,50,26,27,13,6,14,14,12,19,26,23
105,Bob Somers,801.5,1289.9,15,13,10,15,13,14,17,6,62,5,22,22,10,50,50,33,19,22,22,25,29,32,31,31,31,40,6,13,20,22,23
5001,Johanna Rogers,801.0,1289.1,21,22,23,21,22,23,25,23,26,21,22,21,21,21,20,22,22,23,23,25,23,25,25,26,26,25,25,25,27,25,26
962,Kevin Bartow,798.9,1285.7,22,24,7,20,15,6,10,16,14,18,21,24,26,14,31,28,23,20,20,26,14,56,24,12,61,36,42,10,11,15,19
16584,Mayank Gulaty,795.7,1280.5,9,12,21,17,17,16,17,21,20,20,14,28,15,17,20,28,22,14,20,16,20,17,22,28,28,22,22,100,0,37,32
243,Adam Devine,794.2,1278.2,12,32,12,9,17,25,23,25,40,13,21,29,31,30,22,47,20,2,0,26,32,42,61,21,43,2,13,16,22,24,9
12634,Tony Bowe,790.9,1272.8,10,17,41,15,17,18,23,21,25,29,25,25,25,25,41,40,42,32,33,40,45,45,3,7,0,0,20,20,21,20,20
3837,Magdalena Sidor,790.2,1271.6,18,16,20,28,16,24,14,34,17,28,37,15,25,13,13,18,18,26,18,26,17,51,16,19,30,30,32,22,32,18,37
6913,Stephanie Allen,782.8,1259.7,15,21,20,24,24,23,24,20,31,15,25,28,20,27,19,30,23,21,26,26,29,18,28,23,25,29,26,25,20,31,25
9,John Calabrese,780.5,1256.1,28,32,30,26,21,25,20,21,20,27,25,26,21,20,20,26,26,31,32,31,20,31,38,42,0,0,15,28,11,16,10
3767,Masayuki Takei,780.0,1255.2,27,22,27,22,22,23,25,21,27,26,22,26,22,22,24,27,28,27,23,24,26,26,28,29,23,21,15,21,25,8,33
836,Arturas Volianskis,775.4,1248.0,26,17,21,17,18,18,20,20,22,26,19,21,21,20,22,22,27,22,23,23,24,25,25,28,27,32,30,25,20,20,27
8990,Rebecca Beumer,773.8,1245.3,12,33,19,25,18,20,25,23,19,27,27,19,21,23,20,23,26,26,20,19,26,26,20,24,26,24,21,24,21,30,19
1236,Dietmar Bago,768.5,1236.8,17,33,22,15,16,15,16,24,24,21,12,20,22,22,23,35,32,30,26,28,30,27,40,40,45,13,16,16,20,11,19
1241,Bennjamin Griffin,763.1,1228.0,20,20,15,21,18,21,21,22,20,16,21,21,18,26,20,21,17,35,30,24,19,23,23,26,40,30,25,27,10,22,22
2818,Mark Cliggett,761.6,1225.7,16,12,13,13,16,17,18,18,27,22,20,17,21,11,22,30,22,22,20,36,33,31,41,34,43,36,23,11,6,17,15
2360,Darlene Kresse,758.5,1220.7,32,37,41,0,0,0,12,10,25,25,26,30,25,30,30,30,30,32,32,16,34,16,6,36,32,31,31,21,21,16,44
2581,Rob Ulm,755.2,1215.4,25,30,25,25,20,25,22,27,31,25,20,26,20,28,25,26,26,23,20,26,25,30,30,28,25,16,16,16,10,15,11
2026,Randy Duncan,754.4,1214.1,23,14,13,9,36,12,20,20,21,0,20,22,9,23,29,27,27,16,28,28,18,22,53,19,13,48,66,4,20,15,15
9483,Phelim Lynch,754.4,1214.0,0,0,0,0,83,3,27,26,26,28,28,27,27,28,31,27,28,31,28,27,37,27,28,31,27,27,0,0,31,0,31
2653,Letha Cruthirds,753.8,1213.1,11,39,31,11,21,16,4,31,22,23,23,25,26,20,35,38,30,2,26,31,27,26,52,58,14,1,5,6,8,11,27
585,Newton Baker,753.6,1212.8,25,26,25,20,47,21,22,20,9,20,20,25,20,22,20,26,26,26,30,30,30,31,32,31,30,1,10,10,15,17,16
5965,Jeffrey Adams,753.6,1212.7,13,15,20,15,16,23,25,15,32,25,20,13,30,40,32,43,31,31,12,32,31,20,44,59,7,8,9,10,6,15,28
959,Scott Devenport,751.3,1209.2,13,11,28,17,21,19,39,33,39,37,32,35,32,33,34,45,47,47,40,33,7,8,12,4,9,9,8,4,8,8,10
13463,Neil Johnson,747.0,1202.2,0,18,17,31,24,30,0,25,25,13,21,23,23,23,23,20,23,25,0,36,30,24,22,21,23,25,31,31,34,22,38
4240,Don Bonnett,746.9,1202.0,11,14,21,14,14,28,16,17,33,19,16,20,19,21,19,31,26,33,19,19,21,20,28,27,20,23,25,38,29,14,13
304,Mark Hellenthal,740.3,1191.4,25,12,13,30,28,20,10,20,14,11,41,31,30,2,23,16,11,23,27,35,2,40,8,5,22,34,32,10,29,12,18
2459,Sarah Harris,738.1,1187.9,27,30,27,27,28,27,30,18,32,14,23,18,17,27,18,13,26,26,23,23,19,30,7,17,16,15,20,13,8,18,15
12950,Charles Kemeny,736.0,1184.5,7,15,23,18,18,19,15,15,25,25,20,22,32,27,22,37,32,22,32,30,24,32,42,26,56,5,5,10,13,10,12
17236,shaun tisdale,720.5,1159.5,0,0,0,20,11,39,31,31,39,30,12,17,10,21,17,13,11,20,22,45,30,35,42,35,33,27,29,16,15,14,19
5314,Megan Alvarado,719.1,1157.2,23,22,17,15,8,12,9,8,0,111,5,8,16,21,14,17,18,23,13,18,22,22,21,21,23,16,32,23,27,20,33
9484,Paul Nelson,716.7,1153.5,8,16,4,16,15,14,12,12,15,13,16,15,19,17,18,22,22,27,25,26,26,28,30,28,32,30,33,36,36,36,37
1398,Tetsuro Ogata,716.0,1152.3,19,21,20,19,15,21,20,20,20,20,19,19,14,19,31,19,21,21,21,23,20,21,21,35,22,25,21,25,26,25,12
6194,Jerry England,715.0,1150.6,0,100,6,15,17,18,31,20,27,22,20,25,23,23,24,21,20,10,12,4,50,50,50,50,4,4,4,4,11,4,32
3989,Pierre Beauregard,713.0,1147.5,32,32,32,32,32,26,22,4,20,33,37,32,32,34,34,38,25,39,41,45,14,0,1,2,3,4,5,6,7,8,9
7994,Catherine Block,711.8,1145.5,5,14,11,20,20,22,23,24,26,17,20,23,23,22,21,50,12,18,22,23,23,23,23,23,20,23,23,21,24,25,23
5216,Carolyn Smith,711.7,1145.4,19,17,21,16,18,17,19,22,17,21,22,23,22,23,24,23,24,24,24,24,25,26,21,26,25,29,29,23,12,7,14
102,Melissa Shust,709.9,1142.5,18,9,13,11,16,18,12,13,62,8,15,22,28,29,30,23,13,14,26,25,31,32,26,27,23,30,30,30,10,8,16
5342,Paul Forrest,706.6,1137.1,19,19,19,14,15,19,19,20,19,20,20,22,20,19,19,19,31,20,24,22,20,20,50,32,34,22,22,40,0,0,13
6053,Jean-Paul Bedard,705.9,1136.0,19,12,12,21,21,22,24,25,14,31,16,27,20,30,24,23,22,16,21,29,23,25,14,27,21,25,21,21,33,14,0
3967,Michael Daigeaun,702.7,1131.0,25,22,21,23,20,26,14,24,28,22,21,25,27,26,22,25,29,20,29,28,29,29,27,28,29,17,0,0,6,9,9
2515,Nick Onslow,701.7,1129.3,21,14,13,23,23,26,20,22,22,16,22,22,23,23,22,27,28,31,20,24,20,31,20,22,31,23,25,22,12,7,6
111,Jeff Stephens,701.2,1128.5,50,47,15,38,32,30,30,31,28,44,40,40,30,30,30,40,40,40,0,0,0,0,0,30,0,0,0,8,7,7,0
454,Phil Mishka,696.4,1120.7,26,26,26,16,20,28,28,30,26,0,27,27,27,27,27,35,16,27,27,28,27,27,44,43,0,0,0,5,7,6,16
5029,Chris Cavanaugh,695.0,1118.5,16,25,31,15,17,20,12,13,50,13,15,12,18,15,12,30,30,10,17,20,13,23,28,36,28,14,16,16,13,45,24
4930,Ramon Bermo,693.3,1115.8,10,40,6,8,20,7,13,6,50,9,13,20,9,18,6,68,10,6,19,10,10,48,30,50,18,21,22,21,100,8,8
73,Edward Masuoka,692.3,1114.2,12,27,24,21,19,14,17,19,25,23,19,16,21,20,20,25,20,15,21,20,22,22,31,31,27,15,21,14,18,35,15
13471,Stephen Davis,691.2,1112.4,4,13,19,22,22,23,25,23,24,26,22,22,23,25,24,24,25,24,23,24,25,28,27,31,31,34,26,3,5,10,11
11460,Gareth Allen,690.6,1111.4,5,5,12,12,12,12,12,35,12,12,12,17,17,17,16,17,23,23,23,23,23,23,23,35,35,35,35,35,35,35,35
11753,Esther Levine,690.0,1110.4,11,17,12,12,0,19,20,10,20,18,20,19,12,30,20,23,26,26,26,20,20,29,25,45,30,25,44,21,36,4,11
14510,Allie Adamczyk,685.0,1102.4,0,6,10,10,8,6,15,27,6,9,10,12,6,15,32,7,21,11,8,28,32,57,23,24,21,27,32,28,17,49,52
11620,Riccardo Giussani,684.1,1101.0,12,11,16,22,15,20,13,13,14,10,16,13,15,18,20,19,24,22,29,27,24,24,23,25,29,32,29,29,30,32,31
909,Marcia Rasmussen,684.0,1100.8,30,20,21,8,5,3,1,1,80,26,2,6,20,25,20,14,26,20,15,14,26,32,30,30,37,41,82,2,0,0,0
4158,Dale Cougot,683.9,1100.6,17,26,27,15,16,18,18,22,32,29,21,12,11,13,13,22,25,16,14,22,19,28,26,23,25,20,25,32,47,5,6
650,Roberta Horn,683.1,1099.3,21,17,21,17,21,20,16,20,32,18,17,17,21,20,18,30,21,17,20,19,16,18,33,17,16,16,18,16,16,40,20
12154,Fred Murolo,682.8,1098.9,18,17,18,12,15,16,18,16,19,17,14,18,22,25,23,24,24,23,21,22,22,22,22,24,26,26,28,31,32,26,12
1354,Martin Arms,682.3,1098.1,15,16,13,14,16,15,16,10,21,12,16,17,28,21,24,22,21,23,25,21,21,28,32,24,26,45,28,31,31,0,4
3548,Andrea McHugh,680.5,1095.2,12,22,11,17,14,20,18,22,20,18,20,21,20,20,13,13,51,10,20,26,21,22,26,31,21,24,22,26,20,34,20
9522,Kallin Khan,679.6,1093.7,22,21,20,21,16,21,21,21,11,35,20,19,21,21,21,21,21,21,19,21,16,19,31,15,23,23,24,20,20,14,63
12448,Walter Downey,674.9,1086.2,6,26,16,8,15,11,13,14,27,19,9,26,19,21,28,31,33,19,30,33,32,17,35,17,29,31,40,31,0,19,0
2986,Simon Kelly,674.7,1085.8,3,81,5,5,6,5,15,12,19,18,22,19,25,18,25,23,28,18,33,20,23,20,16,27,22,18,29,33,46,4,8
4923,Johnny Breen,673.3,1083.6,0,8,27,8,21,18,26,26,26,26,26,26,26,26,29,40,34,21,16,35,23,18,35,18,7,29,40,0,0,0,14
171,Thomas Dolan,672.7,1082.6,20,20,20,20,12,18,17,17,20,16,21,21,20,20,20,13,21,30,25,20,24,20,42,36,31,27,13,29,22,0,0
