rowid,date,opponent,result,Iolani_score,opp_score,stadium,pass_leader,pass_yds,rush_leader,rush_yds,receive_leader,receive_yds
1,2019-11-29,Hilo,L,17,20,Aloha Stadium,Jonah Chong,118,Brock Hedani,26,Carter Kamana,45
2,2019-11-23,at Moanalua,W,35,9,,Jonah Chong,168,Brock Hedani,90,Carter Kamana,73
3,2019-10-25,Damien,W,21,14,Aloha Stadium,Jonah Chong,183,Brock Hedani,85,Carter Kamana,117
4,2019-10-11,at Castle,W,33,28,,Jonah Chong,148,Jonah Chong,45,Wailoa Manuel,67
5,2019-10-05,Leilehua,L,25,28,Aloha Stadium,Jonah Chong,256,Brock Hedani,17,Wailoa Manuel,119
6,2019-09-27,Radford,W,38,0,,Jonah Chong,82,Brody Bantolina,66,Wailoa Manuel,57
7,2019-09-20,Damien,W,38,21,Aloha Stadium,Jonah Chong,85,Brock Hedani,102,Wailoa Manuel,59
8,2019-09-13,Waipahu,W,48,14,Aloha Stadium,Jonah Chong,192,Brock Hedani,58,Wailoa Manuel,121
9,2019-09-06,at Kailua,W,40,13,,Jonah Chong,177,Brock Hedani,71,Wailoa Manuel,98
10,2019-08-24,Kaimuki,W,34,24,,Jonah Chong,118,Brody Bantolina,99,Wailoa Manuel,57
11,2019-08-16,at Aiea,W,31,10,,Sam Faumuina,135,Brody Bantolina,90,Cole Ichikawa,101
12,2019-08-10,at Moanalua,L,20,21,,Jonah Chong,83,Brock Hedani,94,Carter Kamana,42
13,2019-08-03,at KS-Hawaii,W,47,10,,Jonah Chong,178,Brody Bantolina,48,Wailoa Manuel,89
14,2018-11-09,at Waipahu,L,19,20,,Jonah Chong,208,Kaua Nishigaya,29,Carter Kamana,90
15,2018-10-12,at Aiea,W,30,3,,Jonah Chong,207,Kaua Nishigaya,109,Rayden Kaneshiro,83
16,2018-10-05,at Castle,W,41,14,,Jonah Chong,105,Kaua Nishigaya,164,Carter Kamana,41
17,2018-09-29,at Nanakuli,W,39,0,,Jonah Chong,179,Kaua Nishigaya,102,Rayden Kaneshiro,70
18,2018-09-21,Radford,W,42,6,,Jonah Chong,236,Kaua Nishigaya,44,Carter Kamana,121
19,2018-09-15,Damien,W,30,19,Aloha Stadium,Jonah Chong,203,Kaua Nishigaya,226,Carter Kamana,142
20,2018-09-08,at Leilehua,L,20,31,,Jonah Chong,312,Kaua Nishigaya,60,Carter Kamana,139
21,2018-08-31,Clackamas (Ore.),L,0,7,,Jonah Chong,97,Kaua Nishigaya,59,Carter Kamana,60
22,2018-08-24,at Moanalua,CCL.,,,,,,,,,
23,2018-08-17,at Kailua,W,33,12,,Jonah Chong,258,Kaua Nishigaya,102,Carter Kamana,146
24,2018-08-11,Waipahu,W,55,14,,Jonah Chong,221,Kaua Nishigaya,33,Jonah Miyazawa,89
25,2018-08-04,Kalani,W,63,0,Kaiser,Jonah Chong,136,Rexton Suzuki,58,Jonah Miyazawa,59
26,2017-11-03,Lahainaluna,L,27,35,War Memorial,Tai-John Mizutani,290,Tai-John Mizutani,130,Jonah Miyazawa,193
27,2017-10-13,St. Francis,L,19,43,,Tai-John Mizutani,305,Jake Lee,45,Carter Kamana,103
28,2017-10-07,Pac-Five,W,34,0,,Tai-John Mizutani,209,Kaua Nishigaya,48,Jonah Miyazawa,121
29,2017-09-29,St. Francis,W,45,29,Aloha Stadium,Tai-John Mizutani,430,Kaua Nishigaya,21,Jonah Miyazawa,132
30,2017-09-29,,,,,,,,,,Carter Kamana,130
31,2017-09-22,Damien,L (OT),35,42,,Tai-John Mizutani,303,Tai-John Mizutani,52,Justin Genovia,165
32,2017-09-16,Pac-Five,W,55,20,Aloha Stadium,Tai-John Mizutani,426,Tai-John Mizutani,65,Carter Kamana,222
33,2017-09-08,St. Francis,L,26,43,,Tai-John Mizutani,251,Tai-John Mizutani,12,Justin Genovia,113
34,2017-09-02,Damien,L,21,35,Farrington,Tai-John Mizutani,238,Kaua Nishigaya,45,Justin Genovia,74
35,2017-08-26,Kaimuki,W,57,34,,Tai-John Mizutani,503,Kaua Nishigaya,64,Justin Genovia,153
36,2017-08-26,,,,,,,,,,Jonah Miyazawa,115
37,2017-08-12,Hilo,L,35,62,,Tai-John Mizutani,255,Kaua Nishigaya,67,Justin Genovia,103
38,2016-11-18,Mililani,L,20,31,Aloha Stadium,Tai-John Mizutani,262,KJ Pascua,2,KJ Pascua,102
39,2016-11-11,Campbell,W,35,12,Mililani,Tai-John Mizutani,178,KJ Pascua,82,Rayden Kaneshiro,54
40,2016-11-04,Moanalua,W,17,14,Roosevelt,Tai-John Mizutani,234,KJ Pascua,132,Justin Genovia,156
