Year,Time,Minutes,Bird_temp,Oven_temp,Weight
2016,1:35,0,49,500,14
2016,1:42,7,47,500,14
2016,1:47,12,50,500,14
2016,1:53,18,52,500,14
2016,1:59,24,55,500,14
2016,2:03,28,58,500,14
2016,2:08,33,63,350,14
2016,2:12,37,67,350,14
2016,2:16,41,72,350,14
2016,2:34,59,95,350,14
2016,2:40,65,103,350,14
2016,2:52,77,118,350,14
2016,2:59,84,122,350,14
2016,3:06,91,133,350,14
2016,3:09,94,135,350,14
2016,3:09,94,136,350,14
2016,3:16,101,152,350,14
2016,3:22,107,149,350,14
2016,3:27,112,152,350,14
2016,3:33,118,158,350,14
2016,3:35,120,160,350,14
2016,3:41,126,162,350,14
2017,12:36,0,47,500,20
2017,12:54,18,52,500,20
2017,1:01,25,59,500,20
2017,1:21,45,83,350,20
2017,1:33,57,93,350,20
2017,1:53,77,115,350,20
2017,2:25,109,134,350,20
2017,2:36,120,140,350,20
2017,2:57,141,148,350,20
2017,3:19,163,160,350,20
2017,3:30,174,163,350,20
2015,,0,55,500,14
2015,,13,71,500,14
2015,,22,86,500,14
2015,,26,93,500,14
2015,,33,104,350,14
2015,,56,129,350,14
2015,,68,140,350,14
2015,,83,149,350,14
2015,,98,156,350,14
2015,,104,160,350,14
2015,,108,162,350,14
2019,1:00,0,37,500,16
2019,1:15,15,41,500,16
2019,1:31,31,59,350,16
2019,1:49,49,86,350,16
2019,2:10,70,111,350,16
2019,2:32,92,131,350,16
2019,2:48,108,144,350,16
2019,3:11,131,160,350,16
