Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
4ff0c9dd-9713-4a29-98e2-8112c66e2d5c,2018-06-01 16:45:49,Running,,10.00,1:32:29,9:15,6.49,1334.0,142,,"","",2018-06-01-164549.gpx
dc011367-b4af-4d48-a4b4-645f27093027,2018-05-30 06:31:12,Running,,5.97,54:27,9:08,6.57,801.0,125,,"","",2018-05-30-063112.gpx
0e7d5b74-7afc-47d9-a403-a5cc4ee39141,2018-05-27 06:25:31,Rowing,,3.82,30:08,7:53,7.61,369.628163226143,0,,"","",
870ef074-54e2-419c-beef-5ddc1499da54,2018-05-26 06:09:54,Running,,11.39,1:50:01,9:40,6.21,1509.0,96,,"","",2018-05-26-060954.gpx
3afb0d49-063a-4556-b89b-fdb3850cbaa3,2018-05-25 06:50:27,Cycling,,8.61,36:10,4:12,14.28,412.40242927762,0,,"","",
77913c3d-926d-4c58-9a5c-abaa26f35a82,2018-05-24 06:28:11,Running,,5.02,47:38,9:30,6.32,681.0,160,,"","",2018-05-24-062811.gpx
1450300b-c663-4f33-b597-6a35e5de0005,2018-05-19 06:16:08,Running,,6.22,53:00,8:31,7.04,835.0,59,167,"","Time trial goal 10k in 54:00. Windy on the Mariners loop. ",2018-05-19-061608.gpx
39ca5e99-8fef-4551-915c-46c1637d5233,2018-05-19 06:05:27,Running,,0.88,8:58,10:10,5.90,119.0,8,152,"","",2018-05-19-060527.gpx
ce730a71-95f9-4f3e-8552-db0582aeb791,2018-05-16 06:28:53,Running,,5.01,46:07,9:13,6.51,686.0,160,146,"","",2018-05-16-062853.gpx
5febf442-c378-4ac3-af7f-5b3486d4ad37,2018-05-14 06:33:28,Running,,4.01,36:46,9:10,6.54,538.0,34,154,"","",2018-05-14-063328.gpx
7fa5f9f7-1fef-4fd3-bc5e-454b4900b615,2018-05-13 06:33:47,Rowing,,3.76,30:10,8:01,7.48,332.0,0,,"","",
7d933968-a08b-47e3-9fff-5f8692bb6e92,2018-05-12 06:03:49,Running,,7.01,1:02:28,8:55,6.73,960.0,245,,"","",2018-05-12-060349.gpx
58c2c58a-0789-47fb-9596-c457716e3632,2018-05-10 06:56:01,Cycling,,7.44,30:32,4:06,14.62,365.671088726857,0,,"","",
77e455fc-5310-4f00-863a-5c15fc49a647,2018-05-09 06:20:20,Running,,5.01,46:21,9:16,6.48,705.0,399,,"","",2018-05-09-062020.gpx
57843316-6897-499d-9521-74b749362563,2018-05-07 06:27:12,Running,,4.55,39:46,8:44,6.87,612.0,48,160,"","3x1600
1:00 rest
",2018-05-07-062712.gpx
aab75bdf-c50f-4e6c-93e5-576a1033346b,2018-05-06 08:12:14,Cycling,,9.80,40:00,4:05,14.70,440.0,0,,"","",
4ed5d9b5-cdd8-45f5-9c2b-4be7e3baaaec,2018-05-05 06:32:58,Running,,8.00,1:14:10,9:16,6.47,1078.0,221,,"","",2018-05-05-063258.gpx
c4f8d080-0dd3-4d27-b736-1282591532ac,2018-05-03 06:30:46,Running,,7.50,1:08:45,9:10,6.55,1016.0,261,,"","",2018-05-03-063046.gpx
4fdab4ce-60cb-4739-8e43-2ae20c1590e8,2018-05-02 07:24:54,Rowing,,4.32,35:00,8:06,7.41,378.0,0,,"","",
6585334e-f00c-4086-8e38-74543b2582d5,2018-04-30 18:03:50,Running,,6.00,52:58,8:50,6.80,823.0,0,,"","",
e4293879-7363-4d1b-95bf-1676d0dc0ff7,2018-04-29 08:59:11,Cycling,,2.14,16:43,7:48,7.69,91.0,25,,"","",2018-04-29-085911.gpx
244d8a7a-1d1a-4567-ba10-1d159554317a,2018-04-29 07:18:59,Cycling,,8.68,36:46,4:14,14.17,415.555154328255,0,,"","",
a239d32b-601c-440c-9352-f602c94785d0,2018-04-28 05:39:27,Running,,10.59,1:38:56,9:21,6.42,1408.0,74,,"","",2018-04-28-053927.gpx
cee63bc5-2dc1-4c83-9f54-0789edc69214,2018-04-26 06:39:45,Rowing,,3.61,30:07,8:21,7.19,482.0,0,,"","",
15b25ce4-58c5-48a8-9eb9-7b0aaacfd05e,2018-04-25 06:36:08,Running,,5.08,46:15,9:07,6.58,678.0,46,,"","",2018-04-25-063608.gpx
1ed6dac6-676d-4065-a91d-b83755d679cd,2018-04-23 12:00:24,Running,,5.76,53:43,9:20,6.43,801.165421199747,0,,"","4x1200 at 6:06 with 400 RI 2.5-3 minutes",
0823eb00-84d5-439d-a09b-9f078b3b89d7,2018-04-21 06:21:45,Running,,8.40,1:18:33,9:21,6.42,1141.0,100,,"","",2018-04-21-062145.gpx
9d081330-5a36-494b-91e9-d1c6944d84dc,2018-04-19 06:17:45,Running,,7.56,1:11:37,9:29,6.33,1051.0,256,,"","",2018-04-19-061745.gpx
85870ce1-4965-471f-a163-49891cc2628d,2018-04-17 19:22:11,Running,,5.66,52:42,9:19,6.44,800.525221050923,0,,"","10 min warmup, 6 x 800 at 8:00 min pace and 1:30 rest interval at 15 minute pace, 10 min cooldown. Treadmill. ",
85d02b46-868c-41d8-bf2b-3ab1c0bb9a1a,2018-04-15 06:39:54,Running,,10.22,1:37:27,9:32,6.29,1380.0,78,,"","",2018-04-15-063954.gpx
