"PlayerName","Team","POS","ADP","PA","rPTS","PTS","aPOS","Dollars"
"Mike Trout","Angels","OF","1.1","658","1187.0","$252.8","$7.6","$261.5"
"Mookie Betts","Red Sox","OF","2.0","679","1114.0","$176.2","$7.6","$184.8"
"Jose Ramirez","Indians","3B","5.0","651","1050.0","$108.9","$50.7","$160.7"
"Gary Sanchez","Yankees","C","53.4","543","766.0","($189.4)","$342.7","$154.4"
"J.T. Realmuto","Phillies","C","42.4","544","726.0","($231.4)","$342.7","$112.3"
"Nolan Arenado","Rockies","3B","7.1","651","990.0","$45.9","$50.7","$97.6"
"J.D. Martinez","Red Sox","OF/DH","6.1","651","1019.0","$76.4","$7.6","$85.0"
"Freddie Freeman","Braves","1B","21.8","658","975.0","$30.2","$47.6","$78.7"
"Bryce Harper","Phillies","OF","16.3","623","1011.0","$68.0","$7.6","$76.6"
"Paul Goldschmidt","Cardinals","1B","19.3","658","964.0","$18.6","$47.6","$67.2"
"Anthony Rizzo","Cubs","1B","38.3","651","962.0","$16.5","$47.6","$65.1"
"Christian Yelich","Brewers","OF","6.7","651","1000.0","$56.4","$7.6","$65.1"
"Javier Baez","Cubs","2B/3B/SS","18.5","637","925.0","($22.4)","$85.4","$64.0"
"Juan Soto","Nationals","OF","34.7","637","994.0","$50.1","$7.6","$58.8"
"Trevor Story","Rockies","SS","16.3","644","996.0","$52.2","($2.9)","$50.4"
"Kris Bryant","Cubs","3B/OF","32.8","651","940.0","($6.6)","$50.7","$45.1"
"Jose Altuve","Astros","2B","15.9","644","906.0","($42.3)","$85.4","$44.1"
"Ronald Acuna Jr.","Braves","OF","8.0","644","974.0","$29.1","$7.6","$37.8"
"Jonathan Villar","Orioles","2B","76.8","665","897.0","($51.8)","$85.4","$34.6"
"Giancarlo Stanton","Yankees","OF/DH","21.8","609","970.0","$24.9","$7.6","$33.6"
"Yasmani Grandal","Brewers","C","113.5","480","644.0","($317.5)","$342.7","$26.2"
"Rhys Hoskins","Phillies","OF","39.7","651","960.0","$14.4","$7.6","$23.1"
"Adalberto Mondesi","Royals","SS","38.4","644","964.0","$18.6","($2.9)","$16.8"
"Cody Bellinger","Dodgers","1B/OF","43.1","630","950.0","$3.9","$7.6","$12.6"
"Aaron Judge","Yankees","OF","13.4","616","946.0","($0.3)","$7.6","$8.4"
"Trea Turner","Nationals","SS","7.1","644","952.0","$6.0","($2.9)","$4.2"
"Khris Davis","Athletics","DH","44.8","658","947.0","$0.8","$0.0","$1.8"
"Alex Bregman","Astros","3B/SS","14.0","651","949.0","$2.9","($2.9)","$1.0"
"Joey Gallo","Rangers","1B/OF","99.8","602","939.0","($7.6)","$7.6","$1.0"
"Joey Votto","Reds","1B","66.2","644","901.0","($47.6)","$47.6","$1.0"
"Anthony Rendon","Nationals","3B","42.5","644","898.0","($50.7)","$50.7","$1.0"
"Travis Shaw","Brewers","2B/3B","96.3","637","865.0","($85.4)","$85.4","$1.0"
"Buster Posey","Giants","C","145.7","515","620.0","($342.7)","$342.7","$1.0"
"Daniel Murphy","Rockies","2B","63.2","616","863.0","($87.5)","$85.4","($1.1)"
"Ozzie Albies","Braves","2B","64.0","651","854.0","($96.9)","$85.4","($10.6)"
"Rougned Odor","Rangers","2B","124.0","637","845.0","($106.4)","$85.4","($20.0)"
"Willson Contreras","Cubs","C","129.7","480","598.0","($365.8)","$342.7","($22.1)"
"Andrew Benintendi","Red Sox","OF","31.0","644","917.0","($30.8)","$7.6","($22.1)"
"Matt Chapman","Athletics","3B","109.1","651","875.0","($74.9)","$50.7","($23.2)"
"Manny Machado","Padres","SS","21.3","644","924.0","($23.4)","($2.9)","($25.3)"
"Charlie Blackmon","Rockies","OF","28.8","630","914.0","($33.9)","$7.6","($25.3)"
"Justin Turner","Dodgers","3B","105.8","644","869.0","($81.2)","$50.7","($29.5)"
"Francisco Lindor","Indians","SS","17.5","609","919.0","($28.7)","($2.9)","($30.5)"
"Matt Carpenter","Cardinals","1B/3B","75.2","623","864.0","($86.4)","$50.7","($34.7)"
"Eugenio Suarez","Reds","3B","55.4","630","864.0","($86.4)","$50.7","($34.7)"
"Starling Marte","Pirates","OF","36.1","644","900.0","($48.6)","$7.6","($40.0)"
"Whit Merrifield","Royals","2B/OF","30.5","630","826.0","($126.3)","$85.4","($40.0)"
"Wil Myers","Padres","3B/OF","100.8","616","859.0","($91.7)","$50.7","($40.0)"
"Yadier Molina","Cardinals","C","143.7","495","571.0","($394.2)","$342.7","($50.5)"
"Michael Conforto","Mets","OF","101.2","651","886.0","($63.3)","$7.6","($54.7)"
"Nelson Cruz","Twins","DH","95.9","616","892.0","($57.0)","$0.0","($56.0)"
"Yoan Moncada","White Sox","2B","151.3","637","807.0","($146.3)","$85.4","($59.9)"
"Jesus Aguilar","Brewers","1B","83.4","630","842.0","($109.5)","$47.6","($61.0)"
"George Springer","Astros","OF","62.0","644","876.0","($73.8)","$7.6","($65.2)"
