"PlayerName","Team","POS","ADP","IP","rPTS","PTS","aPOS","Dollars"
"Max Scherzer","Nationals","SP","4.7","210","1227.0","$294.9","$77.0","$372.8"
"Jacob deGrom","Mets","SP","10.3","211","1179.0","$244.4","$77.0","$322.4"
"Justin Verlander","Astros","SP","19.9","204","1125.0","$187.7","$77.0","$265.7"
"Chris Sale","Red Sox","SP","11.9","183","1098.0","$159.4","$77.0","$237.3"
"Gerrit Cole","Astros","SP","22.3","198","1068.0","$127.8","$77.0","$205.8"
"Blake Snell","Rays","SP","29.6","190","1044.0","$102.6","$77.0","$180.6"
"Corey Kluber","Indians","SP","24.8","200","1008.0","$64.8","$77.0","$142.8"
"Aaron Nola","Phillies","SP","25.0","189","951.0","$5.0","$77.0","$82.9"
"Trevor Bauer","Indians","SP","28.2","182","948.0","$1.8","$77.0","$79.8"
"Chris Archer","Pirates","SP","131.9","188","939.0","($7.6)","$77.0","$70.3"
"Madison Bumgarner","Giants","SP","97.6","202","900.0","($48.6)","$77.0","$29.4"
"Carlos Carrasco","Indians","SP","34.2","174","897.0","($51.8)","$77.0","$26.2"
"Patrick Corbin","Nationals","SP","48.4","180","891.0","($58.1)","$77.0","$19.9"
"German Marquez","Rockies","SP","79.5","180","891.0","($58.1)","$77.0","$19.9"
"Stephen Strasburg","Nationals","SP","55.8","173","891.0","($58.1)","$77.0","$19.9"
"James Paxton","Yankees","SP","51.8","171","888.0","($61.2)","$77.0","$16.8"
"Noah Syndergaard","Mets","SP","35.7","177","888.0","($61.2)","$77.0","$16.8"
"Robbie Ray","Diamondbacks","SP","123.5","159","882.0","($67.5)","$77.0","$10.5"
"Jose Berrios","Twins","SP","65.2","191","876.0","($73.8)","$77.0","$4.2"
"Walker Buehler","Dodgers","SP","37.2","163","873.0","($77.0)","$77.0","$1.0"
"Luis Severino","Yankees","SP","79.5","167","870.0","($80.1)","$77.0","($2.2)"
"Zack Greinke","Diamondbacks","SP","65.3","192","864.0","($86.4)","$77.0","($8.5)"
"Jack Flaherty","Cardinals","SP","52.0","168","864.0","($86.4)","$77.0","($8.5)"
"Jameson Taillon","Pirates","SP","55.8","190","855.0","($95.9)","$77.0","($17.9)"
"Miles Mikolas","Cardinals","SP","95.6","200","819.0","($133.7)","$77.0","($55.7)"
"Nick Pivetta","Phillies","SP","143.2","169","810.0","($143.1)","$77.0","($65.2)"
"Mike Clevinger","Indians","SP","57.3","170","807.0","($146.3)","$77.0","($68.3)"
"Jon Lester","Cubs","SP","215.7","189","804.0","($149.4)","$77.0","($71.5)"
"Joey Lucchesi","Padres","SP","190.3","169","801.0","($152.6)","$77.0","($74.6)"
"David Price","Red Sox","SP","99.4","174","798.0","($155.7)","$77.0","($77.8)"
"Luis Castillo","Reds","SP","120.1","168","780.0","($174.7)","$77.0","($96.7)"
"Andrew Heaney","Angels","SP","247.0","173","777.0","($177.8)","$77.0","($99.8)"
"Kyle Gibson","Twins","SP","283.8","193","777.0","($177.8)","$77.0","($99.8)"
"Charlie Morton","Rays","SP","113.9","151","771.0","($184.1)","$77.0","($106.1)"
"Rick Porcello","Red Sox","SP","172.9","182","771.0","($184.1)","$77.0","($106.1)"
"Jose Quintana","Cubs","SP","196.1","169","771.0","($184.1)","$77.0","($106.1)"
"Zack Wheeler","Mets","SP","81.9","164","765.0","($190.4)","$77.0","($112.4)"
"J.A. Happ","Yankees","SP","138.5","167","759.0","($196.7)","$77.0","($118.7)"
"Jake Arrieta","Phillies","SP","204.7","180","759.0","($196.7)","$77.0","($118.7)"
"Jakob Junis","Royals","SP","388.2","182","759.0","($196.7)","$77.0","($118.7)"
"Danny Duffy","Royals","SP","574.7","180","756.0","($199.9)","$77.0","($121.9)"
"Kyle Hendricks","Cubs","SP","132.5","174","735.0","($221.9)","$77.0","($143.9)"
"Tyler Glasnow","Rays","SP","160.6","139","729.0","($228.2)","$77.0","($150.3)"
"Dylan Bundy","Orioles","SP","378.5","169","729.0","($228.2)","$77.0","($150.3)"
"Zack Godley","Diamondbacks","SP","259.6","160","723.0","($234.5)","$77.0","($156.6)"
"Kyle Freeland","Rockies","SP","173.2","183","717.0","($240.8)","$77.0","($162.9)"
"Yu Darvish","Cubs","SP","134.2","138","717.0","($240.8)","$77.0","($162.9)"
"Clayton Kershaw","Dodgers","SP","64.4","144","714.0","($244.0)","$77.0","($166.0)"
"Jhoulys Chacin","Brewers","SP","264.8","179","711.0","($247.1)","$77.0","($169.2)"
"Vince Velasquez","Phillies","SP","448.8","150","708.0","($250.3)","$77.0","($172.3)"
"Rich Hill","Dodgers","SP","190.0","140","705.0","($253.4)","$77.0","($175.5)"
"Marco Gonzales","Mariners","SP","264.3","179","705.0","($253.4)","$77.0","($175.5)"
"Steven Matz","Mets","SP","243.7","157","705.0","($253.4)","$77.0","($175.5)"
"Dallas Keuchel","","SP","227.8","170","699.0","($259.7)","$77.0","($181.8)"
"Cole Hamels","Cubs","SP","152.5","154","699.0","($259.7)","$77.0","($181.8)"
