"PlayerName","Team","POS","ADP","PA","rPTS","PTS","aPOS","Dollars"
"Jose Ramirez","Indians","3B","5.0","689","1177.0","$141.1","$38.4","$180.5"
"Mike Trout","Angels","OF","1.1","625","1193.0","$156.7","$2.1","$159.9"
"Mookie Betts","Red Sox","OF","2.0","684","1182.0","$146.0","$2.1","$149.1"
"Nolan Arenado","Rockies","3B","7.1","686","1119.0","$84.2","$38.4","$123.6"
"Ronald Acuna Jr.","Braves","OF","8.0","675","1144.0","$108.7","$2.1","$111.8"
"J.T. Realmuto","Phillies","C","42.4","588","821.0","($208.0)","$312.0","$104.9"
"Jose Altuve","Astros","2B","15.9","676","1048.0","$14.6","$75.7","$91.2"
"Aaron Judge","Yankees","OF","13.4","651","1116.0","$81.2","$2.1","$84.4"
"Yasmani Grandal","Brewers","C","113.5","573","796.0","($232.6)","$312.0","$80.4"
"Paul Goldschmidt","Cardinals","1B","19.3","677","1076.0","$42.0","$20.7","$63.8"
"Gary Sanchez","Yankees","C","53.4","537","778.0","($250.2)","$312.0","$62.8"
"Charlie Blackmon","Rockies","OF","28.8","716","1092.0","$57.7","$2.1","$60.8"
"Bryce Harper","Phillies","OF","16.3","650","1086.0","$51.8","$2.1","$54.9"
"Christian Yelich","Brewers","OF","6.7","670","1086.0","$51.8","$2.1","$54.9"
"Whit Merrifield","Royals","2B/OF","30.5","684","1011.0","($21.7)","$75.7","$54.9"
"Freddie Freeman","Braves","1B","21.8","677","1067.0","$33.2","$20.7","$54.9"
"Trea Turner","Nationals","SS","7.1","683","1085.0","$50.8","($3.8)","$48.1"
"Joey Votto","Reds","1B","66.2","673","1060.0","$26.3","$20.7","$48.1"
"Kris Bryant","Cubs","3B/OF","32.8","658","1041.0","$7.7","$38.4","$47.1"
"Alex Bregman","Astros","3B/SS","14.0","683","1080.0","$45.9","($3.8)","$43.2"
"Francisco Lindor","Indians","SS","17.5","681","1074.0","$40.1","($3.8)","$37.3"
"Rhys Hoskins","Phillies","OF","39.7","673","1059.0","$25.3","$2.1","$28.5"
"J.D. Martinez","Red Sox","OF/DH","6.1","623","1058.0","$24.4","$2.1","$27.5"
"Javier Baez","Cubs","2B/3B/SS","18.5","664","980.0","($52.1)","$75.7","$24.5"
"Andrew Benintendi","Red Sox","OF","31.0","685","1050.0","$16.5","$2.1","$19.6"
"Cody Bellinger","Dodgers","1B/OF","43.1","668","1037.0","$3.8","$2.1","$6.9"
"Trevor Story","Rockies","SS","16.3","640","1037.0","$3.8","($3.8)","$1.0"
"Giancarlo Stanton","Yankees","OF/DH","21.8","640","1031.0","($2.1)","$2.1","$1.0"
"Anthony Rizzo","Cubs","1B","38.3","672","1012.0","($20.7)","$20.7","$1.0"
"Eugenio Suarez","Reds","3B","55.4","670","994.0","($38.4)","$38.4","$1.0"
"Rougned Odor","Rangers","2B","124.0","679","956.0","($75.7)","$75.7","$1.0"
"Buster Posey","Giants","C","145.7","577","715.0","($312.0)","$312.0","$1.0"
"Khris Davis","Athletics","DH","44.8","667","1033.0","($0.2)","$0.0","$0.8"
"Matt Carpenter","Cardinals","1B/3B","75.2","658","978.0","($54.1)","$38.4","($14.7)"
"Daniel Murphy","Rockies","2B","63.2","632","939.0","($92.3)","$75.7","($15.7)"
"Mitch Haniger","Mariners","OF","94.2","674","1014.0","($18.8)","$2.1","($15.7)"
"Yoan Moncada","White Sox","2B","151.3","650","937.0","($94.3)","$75.7","($17.6)"
"Willson Contreras","Cubs","C","129.7","536","695.0","($331.6)","$312.0","($18.6)"
"Manny Machado","Padres","SS","21.3","670","1015.0","($17.8)","($3.8)","($20.6)"
"Wilson Ramos","Mets","C","126.9","521","686.0","($340.4)","$312.0","($27.4)"
"Juan Soto","Nationals","OF","34.7","640","1001.0","($31.5)","$2.1","($28.4)"
"Tommy Pham","Rays","OF","58.8","647","1000.0","($32.5)","$2.1","($29.4)"
"Yadier Molina","Cardinals","C","143.7","567","680.0","($346.3)","$312.0","($33.3)"
"Matt Chapman","Athletics","3B","109.1","666","957.0","($74.7)","$38.4","($35.3)"
"Joey Gallo","Rangers","1B/OF","99.8","617","993.0","($39.4)","$2.1","($36.3)"
"Carlos Santana","Indians","1B","200.8","660","968.0","($63.9)","$20.7","($42.1)"
"Jurickson Profar","Athletics","1B/3B/SS","134.1","698","986.0","($46.2)","($3.8)","($49.0)"
"Michael Conforto","Mets","OF","101.2","635","980.0","($52.1)","$2.1","($49.0)"
"Anthony Rendon","Nationals","3B","42.5","626","936.0","($95.3)","$38.4","($55.9)"
"Wil Myers","Padres","3B/OF","100.8","617","936.0","($95.3)","$38.4","($55.9)"
"Ozzie Albies","Braves","2B","64.0","651","897.0","($133.5)","$75.7","($56.9)"
"Jose Abreu","White Sox","1B","87.1","638","951.0","($80.6)","$20.7","($58.8)"
"Travis Shaw","Brewers","2B/3B","96.3","616","894.0","($136.5)","$75.7","($59.8)"
"Nicholas Castellanos","Tigers","OF","96.0","667","964.0","($67.8)","$2.1","($64.7)"
"Matt Olson","Athletics","1B","178.0","654","943.0","($88.4)","$20.7","($66.7)"
"Yasiel Puig","Reds","OF","62.8","630","954.0","($77.6)","$2.1","($74.5)"
"Robinson Cano","Mets","2B","119.7","639","878.0","($152.2)","$75.7","($75.5)"
"Xander Bogaerts","Red Sox","SS","48.0","648","957.0","($74.7)","($3.8)","($77.5)"
"Josh Donaldson","Braves","3B","103.5","599","914.0","($116.8)","$38.4","($77.5)"
"Scooter Gennett","Reds","2B","161.2","635","873.0","($157.1)","$75.7","($80.4)"
"Brandon Nimmo","Mets","OF","174.8","657","946.0","($85.5)","$2.1","($82.4)"
"Nelson Cruz","Twins","DH","95.9","631","944.0","($87.4)","$0.0","($86.4)"
"Justin Turner","Dodgers","3B","105.8","594","902.0","($128.6)","$38.4","($89.2)"
"Adalberto Mondesi","Royals","SS","38.4","624","941.0","($90.4)","($3.8)","($93.1)"
"Brian Dozier","Nationals","2B","144.1","593","856.0","($173.7)","$75.7","($97.1)"
"David Dahl","Rockies","OF","68.3","614","929.0","($102.1)","$2.1","($99.0)"
"Miguel Andujar","Yankees","3B","82.1","606","892.0","($138.4)","$38.4","($99.0)"
"Eric Hosmer","Padres","1B","176.8","684","906.0","($124.7)","$20.7","($102.9)"
"Josh Bell","Pirates","1B","266.8","671","906.0","($124.7)","$20.7","($102.9)"
"Max Muncy","Dodgers","1B/3B","124.1","585","887.0","($143.3)","$38.4","($103.9)"
"Lorenzo Cain","Brewers","OF","62.5","644","921.0","($110.0)","$2.1","($106.9)"
"Willy Adames","Rays","SS","271.3","647","925.0","($106.1)","($3.8)","($108.8)"
"George Springer","Astros","OF","62.0","645","914.0","($116.8)","$2.1","($113.7)"
"Jean Segura","Phillies","SS","61.8","672","918.0","($112.9)","($3.8)","($115.7)"
"Kyle Schwarber","Cubs","OF","211.2","604","912.0","($118.8)","$2.1","($115.7)"
"Chris Taylor","Dodgers","SS/OF","252.5","675","915.0","($115.9)","($3.8)","($118.6)"
"Stephen Piscotty","Athletics","OF","156.8","641","906.0","($124.7)","$2.1","($121.6)"
"Danny Jansen","Blue Jays","C","173.8","473","588.0","($436.5)","$312.0","($123.5)"
"Randal Grichuk","Blue Jays","OF","237.8","626","898.0","($132.5)","$2.1","($129.4)"
"Corey Seager","Dodgers","SS","89.3","632","903.0","($127.6)","($3.8)","($130.4)"
"Tucker Barnhart","Reds","C","267.4","529","579.0","($445.4)","$312.0","($132.4)"
"Tim Anderson","White Sox","SS","137.6","646","900.0","($130.6)","($3.8)","($133.3)"
"Carlos Correa","Astros","SS","50.0","601","900.0","($130.6)","($3.8)","($133.3)"
"Justin Upton","Angels","OF","113.8","627","892.0","($138.4)","$2.1","($135.3)"
"Marcell Ozuna","Cardinals","OF","83.9","634","892.0","($138.4)","$2.1","($135.3)"
"Andrew McCutchen","Phillies","OF","130.5","640","891.0","($139.4)","$2.1","($136.3)"
"Jorge Soler","Royals","OF","313.0","623","891.0","($139.4)","$2.1","($136.3)"
"Ketel Marte","Diamondbacks","2B/SS","227.0","675","894.0","($136.5)","($3.8)","($139.2)"
"Trey Mancini","Orioles","1B/OF","253.4","656","887.0","($143.3)","$2.1","($140.2)"
"Starling Marte","Pirates","OF","36.1","616","886.0","($144.3)","$2.1","($141.2)"
"Brandon Belt","Giants","1B","438.0","607","865.0","($164.9)","$20.7","($143.2)"
"Adam Frazier","Pirates","2B/OF","375.2","635","808.0","($220.8)","$75.7","($144.1)"
"Aaron Hicks","Yankees","OF","139.0","598","883.0","($147.2)","$2.1","($144.1)"
"Miguel Sano","Twins","3B","342.0","582","846.0","($183.5)","$38.4","($144.1)"
"Franmil Reyes","Padres","OF","219.3","603","882.0","($148.2)","$2.1","($145.1)"
"Jason Kipnis","Indians","2B","527.9","614","807.0","($221.8)","$75.7","($145.1)"
"Jeimer Candelario","Tigers","3B","495.6","642","841.0","($188.4)","$38.4","($149.0)"
"Gleyber Torres","Yankees","2B/SS","68.4","599","879.0","($151.2)","($3.8)","($153.9)"
"Eddie Rosario","Twins","OF","82.4","645","872.0","($158.0)","$2.1","($154.9)"
