"PlayerName","Team","POS","ADP","IP","rPTS","PTS","aPOS","Dollars"
"Max Scherzer","Nationals","SP","4.7","214","1275.0","$237.2","$86.4","$324.6"
"Gerrit Cole","Astros","SP","22.3","206","1194.0","$157.7","$86.4","$245.2"
"Chris Sale","Red Sox","SP","11.9","187","1191.0","$154.8","$86.4","$242.2"
"Jacob deGrom","Mets","SP","10.3","210","1179.0","$143.0","$86.4","$230.5"
"Justin Verlander","Astros","SP","19.9","205","1173.0","$137.1","$86.4","$224.6"
"Trevor Bauer","Indians","SP","28.2","193","1107.0","$72.4","$86.4","$159.9"
"Luis Severino","Yankees","SP","79.5","200","1104.0","$69.5","$86.4","$156.9"
"Corey Kluber","Indians","SP","24.8","210","1092.0","$57.7","$86.4","$145.2"
"Aaron Nola","Phillies","SP","25.0","204","1062.0","$28.3","$86.4","$115.7"
"Blake Snell","Rays","SP","29.6","190","1047.0","$13.6","$86.4","$101.0"
"German Marquez","Rockies","SP","79.5","193","1026.0","($7.0)","$86.4","$80.4"
"Patrick Corbin","Nationals","SP","48.4","193","1002.0","($30.6)","$86.4","$56.9"
"Jose Berrios","Twins","SP","65.2","200","990.0","($42.3)","$86.4","$45.1"
"Luis Castillo","Reds","SP","120.1","198","966.0","($65.9)","$86.4","$21.6"
"Zack Greinke","Diamondbacks","SP","65.3","201","951.0","($80.6)","$86.4","$6.9"
"Clayton Kershaw","Dodgers","SP","64.4","181","948.0","($83.5)","$86.4","$3.9"
"Noah Syndergaard","Mets","SP","35.7","176","948.0","($83.5)","$86.4","$3.9"
"Mike Foltynewicz","Braves","SP","141.7","181","948.0","($83.5)","$86.4","$3.9"
"Madison Bumgarner","Giants","SP","97.6","200","945.0","($86.4)","$86.4","$1.0"
"Walker Buehler","Dodgers","SP","37.2","173","945.0","($86.4)","$86.4","$1.0"
"Jack Flaherty","Cardinals","SP","52.0","178","945.0","($86.4)","$86.4","$1.0"
"Mike Clevinger","Indians","SP","57.3","186","945.0","($86.4)","$86.4","$1.0"
"Stephen Strasburg","Nationals","SP","55.8","166","915.0","($115.9)","$86.4","($28.4)"
"Charlie Morton","Rays","SP","113.9","168","897.0","($133.5)","$86.4","($46.1)"
"James Paxton","Yankees","SP","51.8","162","894.0","($136.5)","$86.4","($49.0)"
"Jon Gray","Rockies","SP","197.3","186","888.0","($142.3)","$86.4","($54.9)"
"Zack Wheeler","Mets","SP","81.9","176","873.0","($157.1)","$86.4","($69.6)"
"Rick Porcello","Red Sox","SP","172.9","195","867.0","($162.9)","$86.4","($75.5)"
"Zack Godley","Diamondbacks","SP","259.6","180","867.0","($162.9)","$86.4","($75.5)"
"Miles Mikolas","Cardinals","SP","95.6","203","864.0","($165.9)","$86.4","($78.4)"
"Kyle Freeland","Rockies","SP","173.2","197","852.0","($177.6)","$86.4","($90.2)"
"Tyler Glasnow","Rays","SP","160.6","156","852.0","($177.6)","$86.4","($90.2)"
"Jose Quintana","Cubs","SP","196.1","185","849.0","($180.6)","$86.4","($93.1)"
"Cole Hamels","Cubs","SP","152.5","183","846.0","($183.5)","$86.4","($96.1)"
"Andrew Heaney","Angels","SP","247.0","171","846.0","($183.5)","$86.4","($96.1)"
"Chris Archer","Pirates","SP","131.9","170","843.0","($186.5)","$86.4","($99.0)"
"Kyle Gibson","Twins","SP","283.8","189","843.0","($186.5)","$86.4","($99.0)"
"Nick Pivetta","Phillies","SP","143.2","165","837.0","($192.4)","$86.4","($104.9)"
"Robbie Ray","Diamondbacks","SP","123.5","146","831.0","($198.2)","$86.4","($110.8)"
"David Price","Red Sox","SP","99.4","165","825.0","($204.1)","$86.4","($116.7)"
"Sean Newcomb","Braves","SP","267.7","168","825.0","($204.1)","$86.4","($116.7)"
"Kyle Hendricks","Cubs","SP","132.5","187","825.0","($204.1)","$86.4","($116.7)"
"Masahiro Tanaka","Yankees","SP","127.8","160","789.0","($239.4)","$86.4","($152.0)"
"J.A. Happ","Yankees","SP","138.5","165","786.0","($242.4)","$86.4","($154.9)"
"Sonny Gray","Reds","SP","267.9","170","786.0","($242.4)","$86.4","($154.9)"
"Jon Lester","Cubs","SP","215.7","179","765.0","($263.0)","$86.4","($175.5)"
"Yu Darvish","Cubs","SP","134.2","146","765.0","($263.0)","$86.4","($175.5)"
"Marco Gonzales","Mariners","SP","264.3","171","747.0","($280.6)","$86.4","($193.2)"
"Kevin Gausman","Braves","SP","253.0","175","738.0","($289.4)","$86.4","($202.0)"
"Vince Velasquez","Phillies","SP","448.8","153","738.0","($289.4)","$86.4","($202.0)"
"Tyler Skaggs","Angels","SP","241.1","154","732.0","($295.3)","$86.4","($207.9)"
"Marcus Stroman","Blue Jays","SP","332.0","174","729.0","($298.3)","$86.4","($210.8)"
"Jake Arrieta","Phillies","SP","204.7","170","714.0","($313.0)","$86.4","($225.5)"
"Nathan Eovaldi","Red Sox","SP","171.0","154","705.0","($321.8)","$86.4","($234.4)"
"Collin McHugh","Astros","SP","221.2","141","693.0","($333.6)","$86.4","($246.1)"
"Michael Wacha","Cardinals","SP","265.9","154","693.0","($333.6)","$86.4","($246.1)"
"Mike Leake","Mariners","SP","588.5","192","681.0","($345.3)","$86.4","($257.9)"
"Freddy Peralta","Brewers","SP","367.1","127","675.0","($351.2)","$86.4","($263.8)"
"Lucas Giolito","White Sox","SP","575.1","174","675.0","($351.2)","$86.4","($263.8)"
"Joshua James","Astros","SP","276.3","122","672.0","($354.2)","$86.4","($266.7)"
"Julio Teheran","Braves","SP","279.7","154","666.0","($360.0)","$86.4","($272.6)"
"Dallas Keuchel","","SP","227.8","168","663.0","($363.0)","$86.4","($275.5)"
"Jake Odorizzi","Twins","SP","524.1","153","663.0","($363.0)","$86.4","($275.5)"
"Steven Matz","Mets","SP","243.7","138","639.0","($386.5)","$86.4","($299.1)"
"Seth Lugo","Mets","SP","567.1","124","639.0","($386.5)","$86.4","($299.1)"
"Wade LeBlanc","Mariners","SP","584.9","156","636.0","($389.5)","$86.4","($302.0)"
"Yusei Kikuchi","Mariners","SP","179.0","139","636.0","($389.5)","$86.4","($302.0)"
"Brandon Woodruff","Brewers","SP","292.9","130","618.0","($407.1)","$86.4","($319.7)"
"Josh Hader","Brewers","RP","105.1","89","594.0","($430.6)","$86.4","($343.2)"
"Aaron Sanchez","Blue Jays","SP","412.8","140","576.0","($448.3)","$86.4","($360.9)"
"Michael Soroka","Braves","SP","528.6","127","561.0","($463.0)","$86.4","($375.6)"
"Chris Paddack","Padres","SP","999.0","110","552.0","($471.8)","$86.4","($384.4)"
"CC Sabathia","Yankees","SP","560.5","122","525.0","($498.3)","$86.4","($410.9)"
"Fernando Romero","Twins","SP","597.3","109","480.0","($542.4)","$86.4","($455.0)"
"Ryan Pressly","Astros","RP","342.0","73","456.0","($566.0)","$86.4","($478.5)"
"Jason Vargas","Mets","SP","596.8","107","441.0","($580.7)","$86.4","($493.2)"
"Edwin Diaz","Mets","RP","52.4","66","438.0","($583.6)","$86.4","($496.2)"
"Chad Green","Yankees","RP","540.8","68","423.0","($598.3)","$86.4","($510.9)"
"Felix Hernandez","Mariners","SP","597.7","111","408.0","($613.0)","$86.4","($525.6)"
"Jordan Hicks","Cardinals","RP","163.6","74","405.0","($616.0)","$86.4","($528.5)"
"Seranthony Dominguez","Phillies","RP","218.2","68","399.0","($621.9)","$86.4","($534.4)"
"Adalberto Mejia","Twins","SP","601.0","99","396.0","($624.8)","$86.4","($537.4)"
"Aroldis Chapman","Yankees","RP","74.1","57","384.0","($636.6)","$86.4","($549.1)"
"Taylor Rogers","Twins","RP","549.7","70","366.0","($654.2)","$86.4","($566.8)"
"Robert Gsellman","Mets","RP","598.7","79","348.0","($671.9)","$86.4","($584.4)"
"Trevor Hildenberger","Twins","RP","597.0","65","306.0","($713.1)","$86.4","($625.6)"
"Trevor May","Twins","RP","212.6","52","294.0","($724.8)","$86.4","($637.4)"
"Addison Reed","Twins","RP","598.5","59","270.0","($748.4)","$86.4","($660.9)"
"Gabriel Moya","Twins","SP/RP","999.0","41","168.0","($848.4)","$86.4","($760.9)"
