Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,2020-01-03 06:18:21,false,"Honolulu Running","5.05","437","00:49:49","136","159","2.1","169","177","9:52","7:58","305","315","0.96","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","00:24.89","6","0.0"
running,2020-01-02 06:10:59,false,"Honolulu Running","5.02","542","00:50:20","147","164","2.9","167","175","10:01","8:33","62","92","0.96","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","73.4","0:00","No","00:13.82","6","0.0"
running,2020-01-01 06:12:49,false,"Honolulu Running","5.91","508","00:54:33","142","164","2.5","171","183","9:14","6:55","308","322","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","69.8","0:00","No","07:50.10","6","0.0"
running,2019-12-31 08:00:54,false,"Honolulu Running","1.77","204","00:19:52","143","168","2.1","160","173","11:13","8:57","148","131","0.90","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","07:49.11","2","0.0"
running,2019-12-31 06:44:28,false,"Honolulu Running","6.31","485","00:58:09","136","162","2.1","170","187","9:13","7:11","79","89","1.03","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","02:42.66","7","0.0"
running,2019-12-30 06:34:47,false,"Honolulu Running","6.64","668","01:03:47","148","179","3.7","169","184","9:36","7:45","351","367","0.99","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","05:38.45","7","0.0"
running,2019-12-29 05:31:30,false,"Honolulu Running","5.02","377","00:48:58","129","170","2.0","167","175","9:46","8:02","59","79","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","00:08.91","6","0.0"
running,2019-12-28 07:12:10,false,"Honolulu Running","2.07","273","00:24:16","146","166","2.7","159","171","11:42","9:06","33","43","0.87","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","04:24.71","3","0.0"
running,2019-12-28 06:17:11,false,"Honolulu Running","4.18","406","00:39:14","145","180","2.7","170","177","9:23","8:14","26","43","1.01","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","01:34.87","5","0.0"
running,2019-12-27 06:06:15,false,"Honolulu Running","6.29","605","00:58:07","148","174","3.4","170","181","9:14","7:47","180","217","1.03","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","02:32.87","7","0.0"
running,2019-12-26 08:27:25,false,"Honolulu Running","5.77","663","00:54:49","159","177","3.7","167","178","9:30","8:07","125","141","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","06:36.57","6","0.0"
running,2019-12-25 09:59:50,false,"Honolulu Running","5.08","555","00:46:48","158","171","3.7","168","176","9:12","7:56","167","167","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","80.6","0:00","No","00:43.21","6","0.0"
running,2019-12-24 08:13:33,false,"Honolulu Running","4.60","576","00:48:45","154","178","3.5","163","174","10:36","7:41","322","315","0.93","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","05:13.56","5","0.0"
running,2019-12-23 05:34:26,false,"Honolulu Running","4.16","404","00:40:42","141","165","2.5","168","179","9:46","8:06","23","36","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","01:27.33","5","0.0"
running,2019-12-22 08:00:12,false,"Honolulu Running","3.58","410","00:36:10","149","166","3.1","165","173","10:06","8:56","112","135","0.96","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","05:39.37","4","0.0"
running,2019-12-21 08:24:53,false,"Honolulu Running","3.06","273","00:29:04","136","151","2.0","168","186","9:30","7:29","102","98","1.01","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","73.4","0:00","No","00:35.30","4","0.0"
running,2019-12-15 18:05:40,false,"Honolulu Running","3.21","354","00:30:38","149","186","2.7","161","186","9:32","6:47","26","26","1.05","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","04:03.38","4","0.0"
running,2019-12-08 05:00:23,false,"Honolulu Running","26.66","1,821","04:06:48","145","191","3.0","167","246","9:16","7:10","423","482","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","71.6","0:00","No","06:04.53","27","0.0"
running,2019-12-07 05:15:12,false,"Honolulu Running","3.15","229","00:34:07","120","134","1.6","164","179","10:50","8:03","230","259","0.91","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","01:21.15","4","0.0"
treadmill_running,2019-12-06 05:25:36,false,"Treadmill Running","5.02","497","00:50:49","142","169","3.0","165","175","10:07","9:20","23","10","0.93","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","71.6","0:00","No","09:15.78","5","0.0"
running,2019-12-05 05:06:39,false,"Honolulu Running","5.06","391","00:49:48","130","169","2.0","168","186","9:50","7:08","56","79","0.97","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","00:35.17","6","0.0"
running,2019-12-04 05:56:58,false,"Honolulu Running","6.59","622","01:07:42","137","182","3.0","166","176","10:17","8:21","351","374","0.94","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","05:44.59","7","0.0"
running,2019-12-02 06:02:57,false,"Honolulu Running","5.14","365","00:51:33","125","146","1.8","166","173","10:02","8:30","95","98","0.96","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","01:19.87","6","0.0"
running,2019-12-01 08:19:54,false,"Honolulu Running","1.00","75","00:09:32.3","121","148","1.2","166","176","9:30","8:17","72","66","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","00:02.41","2","0.0"
running,2019-12-01 07:03:39,false,"Honolulu Running","5.02","405","00:53:49","129","155","1.9","164","171","10:43","9:08","338","358","0.92","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","00:12.66","6","0.0"
running,2019-11-30 05:30:32,false,"Honolulu Running","9.06","768","01:24:02","144","174","2.5","168","176","9:16","7:35","121","161","1.03","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","00:33.77","10","0.0"
running,2019-11-29 06:10:51,false,"Honolulu Running","6.00","544","01:02:44","134","165","2.4","166","174","10:27","8:43","210","236","0.93","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","00:02.48","7","0.0"
running,2019-11-28 05:40:23,false,"Honolulu Running","11.31","980","01:40:58","147","183","3.4","171","184","8:56","7:26","79","98","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","02:34.97","12","0.0"
running,2019-11-27 06:05:32,false,"Honolulu Running","6.52","445","01:07:51","124","140","2.0","165","175","10:25","8:32","341","358","0.94","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","04:47.15","7","0.0"
running,2019-11-25 05:40:12,false,"Honolulu - 6 x 1 mi","8.48","529","01:17:59","126","150","2.0","171","184","9:12","7:34","56","75","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","02:33.45","13","0.0"
running,2019-11-24 06:25:06,false,"Honolulu Running","7.01","756","01:09:27","150","186","3.1","167","173","9:55","9:06","72","105","0.97","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","00:02.65","8","0.0"
running,2019-11-23 05:14:15,false,"Honolulu Running","10.00","949","01:34:32","147","174","2.9","165","175","9:27","7:50","436","479","1.03","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","00:02.42","11","0.0"
running,2019-11-22 04:19:29,false,"Honolulu Running","8.06","688","01:17:47","138","164","2.4","169","174","9:39","7:40","157","164","0.99","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","00:37.50","9","0.0"
running,2019-11-21 05:58:36,false,"Honolulu Running","5.08","354","00:51:56","124","140","1.7","168","177","10:13","7:53","299","322","0.94","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","00:51.80","6","0.0"
treadmill_running,2019-11-20 05:23:04,false,"Treadmill Running","11.00","1,105","01:39:35","154","183","3.9","172","181","9:03","8:29","3","39","0.95","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","71.6","0:00","No","01:00.77","11","0.0"
running,2019-11-18 05:48:38,false,"Honolulu - 4 x 1.5 mi","9.01","782","01:22:21","145","180","2.6","170","184","9:08","6:51","105","115","1.03","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","02:30.88","10","0.0"
hiking,2019-11-17 07:04:30,false,"Honolulu Hiking","2.44","269","01:01:36","102","145","1.1","77","157","25:13","18:04","533","534","0.83","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","80.6","0:00","No","00:00.00","1","0.0"
running,2019-11-17 06:19:47,false,"Honolulu Running","4.01","391","00:43:18","136","153","2.0","165","174","10:49","8:44","357","284","0.90","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","00:02.90","5","0.0"
running,2019-11-16 04:14:21,false,"Honolulu Running","15.52","1,472","02:35:23","152","192","3.2","161","174","10:01","7:56","509","676","1.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","05:26.18","16","0.0"
running,2019-11-15 04:29:06,false,"Honolulu Running","6.00","692","01:02:00","157","185","3.6","163","171","10:20","8:43","128","144","0.96","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","00:12.45","7","0.0"
running,2019-11-14 05:55:07,false,"Honolulu Running","6.06","658","01:02:09","147","197","3.3","164","174","10:15","8:29","299","269","0.96","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","00:37.86","7","0.0"
running,2019-11-13 05:06:41,false,"Honolulu Running","11.36","753","01:42:16","134","156","2.3","167","178","9:00","7:36","66","82","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","03:02.73","12","0.0"
hiking,2019-11-11 08:24:10,false,"Honolulu Hiking","1.13","142","00:32:17","99","117","1.1","55","123","28:41","19:02","430","--","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","86.0","0:00","No","00:00.00","1","0.0"
running,2019-11-11 06:09:35,false,"Honolulu - 3 x 2 mi","8.02","537","01:12:05","131","155","2.1","169","181","8:59","6:48","52","69","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","00:02.91","7","0.0"
running,2019-11-10 06:13:33,false,"Honolulu Running","5.08","432","00:50:37","134","171","2.1","165","193","9:58","5:46","59","72","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","00:39.59","6","0.0"
running,2019-11-09 12:34:45,false,"Honolulu Running","1.36","295","00:31:55","137","171","2.1","74","213","23:27","5:01","52","36","0.92","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","91.4","0:00","No","09:29.98","2","0.0"
running,2019-11-09 11:57:34,false,"Honolulu Running","1.54","318","00:36:44","133","176","2.1","76","236","23:54","5:03","30","33","0.89","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","91.4","0:00","No","13:51.32","2","0.0"
running,2019-11-09 04:30:35,false,"Honolulu Running","16.49","992","02:29:53","133","158","2.4","168","177","9:05","7:45","762","763","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","73.4","0:00","No","04:08.07","17","0.0"
running,2019-11-08 04:25:43,false,"Honolulu Running","5.99","459","01:01:08","130","143","2.0","164","177","10:13","7:58","348","344","0.96","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","09:22.04","6","0.0"
running,2019-11-07 05:41:03,false,"Honolulu Running","7.01","815","01:11:12","153","181","3.2","162","170","10:10","8:44","210","348","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","00:03.35","8","0.0"
running,2019-11-06 05:06:48,false,"Honolulu Running","10.01","554","01:31:42","122","149","1.8","165","174","9:10","7:36","161","184","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","00:04.18","11","0.0"
treadmill_running,2019-11-04 05:26:48,false,"Treadmill Running","8.10","930","01:17:13","157","185","4.0","166","178","9:32","9:09","3","30","0.92","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","73.4","0:00","No","03:33.09","8","0.0"
running,2019-11-03 06:12:01,false,"Honolulu Running","7.02","454","01:10:07","121","138","2.0","164","171","9:59","8:09","576","578","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","00:11.59","8","0.0"
running,2019-11-02 05:00:57,false,"Honolulu Running","10.13","1,058","01:32:19","157","176","3.8","167","175","9:07","7:54","569","567","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","01:11.51","11","0.0"
running,2019-11-01 05:06:59,false,"Honolulu Running","8.14","887","01:20:40","153","180","3.3","165","174","9:55","7:26","335","340","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","01:23.38","9","0.0"
running,2019-10-31 06:16:10,false,"Honolulu Running","5.03","571","00:51:00","151","201","3.2","163","171","10:08","7:41","444","449","0.97","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","00:18.53","6","0.0"
running,2019-10-30 05:44:19,false,"Honolulu Running","9.01","801","01:24:15","145","179","2.7","165","175","9:21","7:37","89","128","1.05","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","73.4","0:00","No","03:14.00","10","0.0"
running,2019-10-29 17:50:38,false,"Honolulu Running","3.57","444","00:36:11","156","172","3.2","162","174","10:07","8:47","49","56","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","05:50.23","4","0.0"
running,2019-10-27 05:36:01,false,"New Orleans Running","5.32","487","00:49:55","141","171","2.4","164","177","9:23","6:59","13","13","1.05","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","62.6","0:00","No","03:00.36","6","0.0"
running,2019-10-26 04:50:46,false,"New Orleans Running","16.33","1,807","02:32:43","162","183","3.9","165","236","9:21","7:06","112","315","1.05","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","68.0","0:00","No","02:58.73","17","0.0"
