NFL,College,samestate,neighborstate
Buf,LSU,F,F
Mia,BYU,F,F
NE,Navy,F,F
NYJ,Duke,F,F
Den,Iowa,F,F
KC,Oklahoma,F,T
LAC,Cincinnati,F,F
Oak,Maryland,F,F
Bal,Tennessee,F,F
Cin,Rutgers,F,F
Cle,UCF,F,F
Pit,Portland State,F,F
Hou,Baylor,T,T
Ind,William and Mary,F,F
Jac,Western Washington,F,F
Jac,Alabama,F,T
Ten,Missouri,F,T
Dal,California,F,F
NYG,Brown,F,F
Phi,Old Dominion,F,F
Was,California,F,F
Ari,San Diego State,F,T
Ari,Colorado,F,F
LAR,Ohio State,F,F
Sea,Harvard,F,F
Chi,Rutgers,F,F
Det,Texas A&M,F,F
Green Bay,Michigan State,F,T
Min,UCLA,F,F
Atl,Auburn,F,T
Car,Notre Dame,F,F
NO,SMU,F,T
TB,Florida State,T,T
