Year,Teacher,Period,Table,Beansprout,min0,min5,min10,min15,min20
2021,Bilenchi,1,A,young,0,15,30,44.5,69.5
2021,Bilenchi,1,B,young,0,130,240,410,490
2021,Bilenchi,1,C,young,0,70,145,195,305
2021,Bilenchi,1,D,young,0,133,243,345,435
2021,Lee,1,A,young,0,118,218,299,405
2021,Lee,1,B,young,NA,NA,NA,NA,NA
2021,Lee,1,C,young,NA,NA,NA,NA,NA
2021,Lee,1,D,young,0,96,187,256,350
2021,Bilenchi,2,A,young,0,13,33,55,63
2021,Bilenchi,2,B,young,0,8,29,44,60
2021,Bilenchi,2,C,young,0,10,30,50,65
2021,Bilenchi,2,D,young,0,34,49,63,71
2021,Lee,2,A,young,NA,NA,NA,NA,NA
2021,Lee,2,B,young,NA,NA,NA,NA,NA
2021,Lee,2,C,young,NA,NA,NA,NA,NA
2021,Lee,2,D,young,NA,NA,NA,NA,NA
2021,Bilenchi,3,A,young,0,126,229,338,460
2021,Bilenchi,3,B,young,0,110,220,355,440
2021,Bilenchi,3,C,young,0,100,186,338,375
2021,Bilenchi,3,D,young,0,160,260,385,500
2021,Allan,4,A,young,0,260,260,260,260
2021,Allan,4,B,young,NA,NA,NA,NA,NA
2021,Allan,4,C,young,NA,NA,NA,NA,NA
2021,Allan,4,D,young,0,125,220,360,482
2021,Ching,4,A,young,NA,NA,NA,NA,NA
2021,Ching,4,B,young,0,104,195,314,420
2021,Ching,4,C,young,0,118,252,372,518
2021,Ching,4,D,young,0,132,246,333,452
2021,Allan,5,A,young,0,15,37,52,57
2021,Allan,5,B,young,0,136,286,286,631
2021,Allan,5,C,young,0,1,1,1,1
2021,Allan,5,D,young,NA,NA,NA,NA,NA
2021,Allan,6,A,young,NA,NA,NA,NA,NA
2021,Allan,6,B,young,0,75,113,137,157
2021,Allan,6,C,young,0,930,1800,2300,2900
2021,Allan,6,D,young,0,250,530,910,1160
2021,Ching,6,A,young,0,133,300,420,467
2021,Ching,6,B,young,0,74,166,266,360
2021,Ching,6,C,young,0,158,293,553,673
2021,Ching,6,D,young,0,132,277,500,634
2021,Allan,7,A,young,0,190,250,420,550
2021,Allan,7,B,young,NA,NA,NA,NA,NA
2021,Allan,7,C,young,0,152,302,477,547
2021,Allan,7,D,young,0,83,166,207,286
2021,Ching,8,A,young,0,75,183.5,292,386.5
