"PlayerName","Team","POS","ADP","IP","rPTS","PTS","aPOS","Dollars"
"Max Scherzer","Nationals","SP","4.7","208","1209.5","$312.8","$43.0","$356.7"
"Jacob deGrom","Mets","SP","10.3","208","1180.2","$282.2","$43.0","$326.2"
"Justin Verlander","Astros","SP","19.9","202","1132.1","$232.1","$43.0","$276.1"
"Chris Sale","Red Sox","SP","11.9","184","1130.2","$230.1","$43.0","$274.0"
"Blake Snell","Rays","SP","29.6","189","1064.1","$161.1","$43.0","$205.1"
"Gerrit Cole","Astros","SP","22.3","196","1057.9","$154.6","$43.0","$198.6"
"Corey Kluber","Indians","SP","24.8","201","1005.2","$99.7","$43.0","$143.7"
"Aaron Nola","Phillies","SP","25.0","194","977.6","$70.9","$43.0","$114.9"
"Trevor Bauer","Indians","SP","28.2","185","956.1","$48.5","$43.0","$92.5"
"Chris Archer","Pirates","SP","131.9","191","945.2","$37.1","$43.0","$81.1"
"Carlos Carrasco","Indians","SP","34.2","179","920.8","$11.6","$43.0","$55.6"
"James Paxton","Yankees","SP","51.8","172","907.0","($2.8)","$43.0","$41.2"
"German Marquez","Rockies","SP","79.5","183","900.1","($9.9)","$43.0","$34.1"
"Madison Bumgarner","Giants","SP","97.6","203","896.7","($13.5)","$43.0","$30.5"
"Patrick Corbin","Nationals","SP","48.4","182","892.0","($18.4)","$43.0","$25.6"
"Walker Buehler","Dodgers","SP","37.2","166","889.6","($20.9)","$43.0","$23.1"
"Stephen Strasburg","Nationals","SP","55.8","177","885.5","($25.2)","$43.0","$18.8"
"Luis Severino","Yankees","SP","79.5","168","883.4","($27.3)","$43.0","$16.7"
"Jose Berrios","Twins","SP","65.2","193","876.7","($34.4)","$43.0","$9.6"
"Noah Syndergaard","Mets","SP","35.7","176","868.4","($43.0)","$43.0","$1.0"
"Robbie Ray","Diamondbacks","SP","123.5","158","866.7","($44.8)","$43.0","($0.8)"
"Zack Greinke","Diamondbacks","SP","65.3","194","859.3","($52.5)","$43.0","($8.5)"
"Jameson Taillon","Pirates","SP","55.8","190","856.2","($55.7)","$43.0","($11.7)"
"Jack Flaherty","Cardinals","SP","52.0","168","849.5","($62.7)","$43.0","($18.7)"
"Mike Clevinger","Indians","SP","57.3","170","824.3","($89.0)","$43.0","($45.0)"
"Miles Mikolas","Cardinals","SP","95.6","201","821.1","($92.3)","$43.0","($48.3)"
"Joey Lucchesi","Padres","SP","190.3","169","811.6","($102.3)","$43.0","($58.3)"
"Jon Lester","Cubs","SP","215.7","192","811.1","($102.7)","$43.0","($58.7)"
"David Price","Red Sox","SP","99.4","177","808.7","($105.3)","$43.0","($61.3)"
"Luis Castillo","Reds","SP","120.1","173","802.3","($111.9)","$43.0","($67.9)"
"Kyle Gibson","Twins","SP","283.8","192","797.5","($116.9)","$43.0","($73.0)"
"Danny Duffy","Royals","SP","574.7","185","785.5","($129.5)","$43.0","($85.5)"
"Charlie Morton","Rays","SP","113.9","152","780.5","($134.7)","$43.0","($90.7)"
"Nick Pivetta","Phillies","SP","143.2","160","779.2","($136.0)","$43.0","($92.0)"
"Rick Porcello","Red Sox","SP","172.9","184","776.4","($138.9)","$43.0","($94.9)"
"Jakob Junis","Royals","SP","388.2","184","776.0","($139.4)","$43.0","($95.4)"
"J.A. Happ","Yankees","SP","138.5","168","770.9","($144.7)","$43.0","($100.7)"
"Jose Quintana","Cubs","SP","196.1","169","768.6","($147.1)","$43.0","($103.1)"
"Jake Arrieta","Phillies","SP","204.7","181","765.2","($150.6)","$43.0","($106.6)"
"Zack Wheeler","Mets","SP","81.9","161","761.9","($154.1)","$43.0","($110.1)"
"Mike Minor","Rangers","SP","421.0","175","750.9","($165.6)","$43.0","($121.6)"
"Kyle Freeland","Rockies","SP","173.2","187","745.2","($171.5)","$43.0","($127.5)"
"Kyle Hendricks","Cubs","SP","132.5","176","736.0","($181.0)","$43.0","($137.1)"
"Dylan Bundy","Orioles","SP","378.5","173","733.6","($183.6)","$43.0","($139.6)"
"Andrew Heaney","Angels","SP","247.0","158","715.9","($202.0)","$43.0","($158.0)"
"Jhoulys Chacin","Brewers","SP","264.8","180","713.9","($204.1)","$43.0","($160.1)"
"Yu Darvish","Cubs","SP","134.2","139","711.9","($206.2)","$43.0","($162.2)"
"Chris Paddack","Padres","SP","999.0","143","711.5","($206.6)","$43.0","($162.6)"
"Cole Hamels","Cubs","SP","152.5","153","711.3","($206.8)","$43.0","($162.8)"
"Tyler Glasnow","Rays","SP","160.6","135","706.8","($211.6)","$43.0","($167.6)"
"Dallas Keuchel","","SP","227.8","171","705.9","($212.4)","$43.0","($168.4)"
"Marco Gonzales","Mariners","SP","264.3","180","705.1","($213.3)","$43.0","($169.3)"
"Masahiro Tanaka","Yankees","SP","127.8","153","703.7","($214.8)","$43.0","($170.8)"
"Sonny Gray","Reds","SP","267.9","154","701.7","($216.9)","$43.0","($172.9)"
"Zack Godley","Diamondbacks","SP","259.6","159","699.6","($219.0)","$43.0","($175.0)"
"Rich Hill","Dodgers","SP","190.0","138","697.3","($221.4)","$43.0","($177.4)"
"Carlos Rodon","White Sox","SP","332.7","169","696.6","($222.2)","$43.0","($178.2)"
"Tyler Skaggs","Angels","SP","241.1","157","695.7","($223.1)","$43.0","($179.2)"
"Steven Matz","Mets","SP","243.7","153","693.6","($225.3)","$43.0","($181.4)"
"Clayton Kershaw","Dodgers","SP","64.4","144","691.4","($227.6)","$43.0","($183.6)"
"Trevor Richards","Marlins","SP","413.8","157","688.9","($230.2)","$43.0","($186.2)"
"Joe Musgrove","Pirates","SP","203.0","162","687.1","($232.1)","$43.0","($188.1)"
"Marcus Stroman","Blue Jays","SP","332.0","177","686.9","($232.3)","$43.0","($188.3)"
"Reynaldo Lopez","White Sox","SP","325.6","175","686.1","($233.2)","$43.0","($189.2)"
"Kevin Gausman","Braves","SP","253.0","156","671.3","($248.6)","$43.0","($204.6)"
"Jon Gray","Rockies","SP","197.3","146","668.2","($251.8)","$43.0","($207.8)"
"Lance Lynn","Rangers","SP","546.0","157","666.9","($253.1)","$43.0","($209.1)"
"Jeff Samardzija","Giants","SP","448.6","165","665.0","($255.2)","$43.0","($211.2)"
"Nathan Eovaldi","Red Sox","SP","171.0","152","662.0","($258.2)","$43.0","($214.2)"
"Anthony DeSclafani","Reds","SP","487.1","153","661.3","($259.0)","$43.0","($215.0)"
"Carlos Martinez","Cardinals","SP","294.8","144","653.5","($267.1)","$43.0","($223.1)"
"Mike Foltynewicz","Braves","SP","141.7","134","652.4","($268.2)","$43.0","($224.2)"
"Jake Odorizzi","Twins","SP","524.1","161","644.4","($276.6)","$43.0","($232.6)"
"Pablo Lopez","Marlins","SP","482.5","162","644.3","($276.7)","$43.0","($232.8)"
"Matthew Boyd","Tigers","SP","336.8","160","642.2","($278.9)","$43.0","($234.9)"
"Derek Holland","Giants","SP","426.8","145","639.1","($282.2)","$43.0","($238.2)"
"Mike Leake","Mariners","SP","588.5","196","638.6","($282.7)","$43.0","($238.7)"
"Freddy Peralta","Brewers","SP","367.1","127","637.8","($283.5)","$43.0","($239.6)"
"Jose Urena","Marlins","SP","534.3","162","633.4","($288.1)","$43.0","($244.1)"
"Vince Velasquez","Phillies","SP","448.8","137","633.2","($288.2)","$43.0","($244.3)"
"Anibal Sanchez","Nationals","SP","276.3","144","630.8","($290.8)","$43.0","($246.8)"
"Caleb Smith","Marlins","SP","443.4","132","627.5","($294.2)","$43.0","($250.2)"
"Tyler Anderson","Rockies","SP","558.7","146","619.9","($302.2)","$43.0","($258.2)"
"Yusei Kikuchi","Mariners","SP","179.0","142","618.8","($303.3)","$43.0","($259.3)"
"Shane Bieber","Indians","SP","127.0","139","610.8","($311.6)","$43.0","($267.6)"
"Kenta Maeda","Dodgers","SP","192.6","125","605.1","($317.6)","$43.0","($273.6)"
"Sean Newcomb","Braves","SP","267.7","128","603.2","($319.6)","$43.0","($275.6)"
"Collin McHugh","Astros","SP","221.2","141","601.9","($320.9)","$43.0","($276.9)"
"Logan Allen","","SP","592.5","139","599.3","($323.7)","$43.0","($279.7)"
"Michael Pineda","Twins","SP","311.3","138","598.1","($324.9)","$43.0","($280.9)"
"Eric Lauer","Padres","SP","525.4","137","597.9","($325.1)","$43.0","($281.1)"
"Brad Keller","Royals","SP","528.8","162","593.6","($329.6)","$43.0","($285.6)"
"Zach Eflin","Phillies","SP","297.3","145","591.9","($331.4)","$43.0","($287.4)"
"Brad Peacock","Astros","SP","246.0","121","591.7","($331.5)","$43.0","($287.6)"
"Alex Cobb","Orioles","SP","588.5","171","588.0","($335.5)","$43.0","($291.5)"
"Hyun-Jin Ryu","Dodgers","SP","175.4","126","583.0","($340.6)","$43.0","($296.6)"
"Antonio Senzatela","Rockies","SP","600.6","150","579.1","($344.7)","$43.0","($300.7)"
"Tanner Roark","Reds","SP","476.5","143","572.3","($351.8)","$43.0","($307.9)"
"Corbin Burnes","Brewers","SP","273.5","134","568.0","($356.3)","$43.0","($312.3)"
"Brandon Woodruff","Brewers","SP","292.9","133","567.9","($356.4)","$43.0","($312.4)"
"Mike Fiers","Athletics","SP","433.3","151","566.6","($357.7)","$43.0","($313.8)"
"Drew Smyly","Rangers","SP","554.1","139","564.8","($359.6)","$43.0","($315.6)"
"Matt Harvey","Angels","SP","473.1","153","564.0","($360.5)","$43.0","($316.5)"
"Eduardo Rodriguez","Red Sox","SP","148.8","117","561.8","($362.7)","$43.0","($318.7)"
"Adam Wainwright","Cardinals","SP","566.7","138","561.2","($363.4)","$43.0","($319.4)"
"Luke Weaver","Diamondbacks","SP","283.8","124","560.0","($364.7)","$43.0","($320.7)"
"Aaron Sanchez","Blue Jays","SP","412.8","150","559.8","($364.8)","$43.0","($320.8)"
"Michael Wacha","Cardinals","SP","265.9","130","548.3","($376.8)","$43.0","($332.8)"
