"PlayerName","Team","POS","ADP","PA","rPTS","PTS","aPOS","Dollars"
"Jose Ramirez","Indians","3B","5.0","656","1031.9","$127.5","$60.3","$188.9"
"Mike Trout","Angels","OF","1.1","594","1075.2","$172.7","$1.4","$175.1"
"Mookie Betts","Red Sox","OF","2.0","661","1074.8","$172.3","$1.4","$174.7"
"Nolan Arenado","Rockies","3B","7.1","653","987.8","$81.6","$60.3","$142.9"
"Anthony Rizzo","Cubs","1B","38.3","643","961.9","$54.5","$18.8","$74.3"
"Kris Bryant","Cubs","3B/OF","32.8","625","921.3","$12.2","$60.3","$73.6"
"Christian Yelich","Brewers","OF","6.7","641","975.3","$68.5","$1.4","$70.9"
"Freddie Freeman","Braves","1B","21.8","645","952.0","$44.2","$18.8","$64.0"
"Bryce Harper","Phillies","OF","16.3","609","965.6","$58.4","$1.4","$60.8"
"Paul Goldschmidt","Cardinals","1B","19.3","646","947.0","$39.0","$18.8","$58.8"
"Francisco Lindor","Indians","SS","17.5","647","977.4","$70.7","($15.0)","$56.7"
"Giancarlo Stanton","Yankees","OF/DH","21.8","601","960.6","$53.2","$1.4","$55.6"
"J.T. Realmuto","Phillies","C","42.4","534","686.2","($233.1)","$282.6","$50.6"
"Ronald Acuna Jr.","Braves","OF","8.0","644","953.8","$46.1","$1.4","$48.5"
"Trea Turner","Nationals","SS","7.1","658","968.4","$61.3","($15.0)","$47.3"
"Jose Altuve","Astros","2B","15.9","644","895.0","($15.3)","$59.8","$45.5"
"Charlie Blackmon","Rockies","OF","28.8","678","950.1","$42.3","$1.4","$44.6"
"Jonathan Villar","Orioles","2B","76.8","676","890.9","($19.5)","$59.8","$41.3"
"Javier Baez","Cubs","2B/3B/SS","18.5","627","888.3","($22.2)","$59.8","$38.5"
"J.D. Martinez","Red Sox","OF/DH","6.1","590","936.2","$27.7","$1.4","$30.1"
"Rhys Hoskins","Phillies","OF","39.7","639","933.7","$25.2","$1.4","$27.6"
"Gary Sanchez","Yankees","C","53.4","483","663.8","($256.4)","$282.6","$27.2"
"Alex Bregman","Astros","3B/SS","14.0","648","947.1","$39.1","($15.0)","$25.1"
"Yasmani Grandal","Brewers","C","113.5","496","657.7","($262.7)","$282.6","$20.9"
"Andrew Benintendi","Red Sox","OF","31.0","653","920.5","$11.3","$1.4","$13.7"
"Aaron Judge","Yankees","OF","13.4","611","918.4","$9.2","$1.4","$11.5"
"Trevor Story","Rockies","SS","16.3","607","924.0","$15.0","($15.0)","$1.0"
"Cody Bellinger","Dodgers","1B/OF","43.1","627","908.3","($1.4)","$1.4","$1.0"
"Joey Votto","Reds","1B","66.2","640","891.6","($18.8)","$18.8","$1.0"
"Whit Merrifield","Royals","2B/OF","30.5","660","852.3","($59.8)","$59.8","$1.0"
"Matt Carpenter","Cardinals","1B/3B","75.2","628","851.8","($60.3)","$60.3","$1.0"
"Buster Posey","Giants","C","145.7","520","638.6","($282.6)","$282.6","$1.0"
"Manny Machado","Padres","SS","21.3","636","923.6","$14.6","($15.0)","$0.5"
"Khris Davis","Athletics","DH","44.8","636","902.5","($7.5)","$0.0","($6.5)"
"Juan Soto","Nationals","OF","34.7","603","900.7","($9.3)","$1.4","($6.9)"
"Eugenio Suarez","Reds","3B","55.4","625","840.6","($72.0)","$60.3","($10.7)"
"Matt Chapman","Athletics","3B","109.1","626","834.8","($78.0)","$60.3","($16.7)"
"Nelson Cruz","Twins","DH","95.9","597","884.8","($25.9)","$0.0","($24.9)"
"Daniel Murphy","Rockies","2B","63.2","601","827.3","($85.8)","$59.8","($25.1)"
"Rougned Odor","Rangers","2B","124.0","621","826.0","($87.2)","$59.8","($26.4)"
"Anthony Rendon","Nationals","3B","42.5","595","824.4","($88.9)","$60.3","($27.6)"
"Carlos Santana","Indians","1B","200.8","629","854.1","($57.9)","$18.8","($38.1)"
"Ozzie Albies","Braves","2B","64.0","617","806.9","($107.1)","$59.8","($46.3)"
"Starling Marte","Pirates","OF","36.1","611","861.7","($50.0)","$1.4","($47.6)"
"Jose Abreu","White Sox","1B","87.1","614","839.0","($73.6)","$18.8","($53.8)"
"Justin Turner","Dodgers","3B","105.8","588","797.3","($117.1)","$60.3","($55.8)"
"Willson Contreras","Cubs","C","129.7","468","583.5","($340.2)","$282.6","($56.5)"
"Andrew McCutchen","Phillies","OF","130.5","601","853.1","($58.9)","$1.4","($56.5)"
"Yadier Molina","Cardinals","C","143.7","497","583.2","($340.4)","$282.6","($56.8)"
"Yasiel Puig","Reds","OF","62.8","572","848.2","($64.0)","$1.4","($61.6)"
"Wil Myers","Padres","3B/OF","100.8","596","788.8","($126.0)","$60.3","($64.7)"
"Nicholas Castellanos","Tigers","OF","96.0","638","844.6","($67.8)","$1.4","($65.4)"
"Joey Gallo","Rangers","1B/OF","99.8","571","843.2","($69.3)","$1.4","($66.9)"
"Travis Shaw","Brewers","2B/3B","96.3","591","786.8","($128.1)","$59.8","($67.3)"
"George Springer","Astros","OF","62.0","615","840.4","($72.2)","$1.4","($69.8)"
"Adalberto Mondesi","Royals","SS","38.4","591","853.5","($58.6)","($15.0)","($72.6)"
"Josh Donaldson","Braves","3B","103.5","555","778.8","($136.5)","$60.3","($75.1)"
"Mike Moustakas","Brewers","3B","135.0","570","775.4","($140.0)","$60.3","($78.6)"
"Yoan Moncada","White Sox","2B","151.3","619","773.0","($142.5)","$59.8","($81.7)"
"Eric Hosmer","Padres","1B","176.8","648","808.4","($105.6)","$18.8","($85.8)"
"Josh Bell","Pirates","1B","266.8","623","807.0","($107.1)","$18.8","($87.3)"
"Matt Olson","Athletics","1B","178.0","597","806.6","($107.4)","$18.8","($87.6)"
"Mitch Haniger","Mariners","OF","94.2","639","820.8","($92.7)","$1.4","($90.3)"
"Xander Bogaerts","Red Sox","SS","48.0","616","834.9","($78.0)","($15.0)","($92.0)"
"Robinson Cano","Mets","2B","119.7","604","762.7","($153.2)","$59.8","($92.5)"
"Lorenzo Cain","Brewers","OF","62.5","619","817.1","($96.5)","$1.4","($94.1)"
"Tommy Pham","Rays","OF","58.8","603","816.7","($96.9)","$1.4","($94.5)"
"Shin-Soo Choo","Rangers","OF/DH","295.4","646","816.0","($97.7)","$1.4","($95.3)"
"Vladimir Guerrero Jr.","","3B","56.8","534","756.7","($159.4)","$60.3","($98.1)"
"Brian Anderson","Marlins","3B/OF","315.5","648","754.5","($161.8)","$60.3","($100.4)"
"Jake Lamb","Diamondbacks","3B","290.4","587","750.3","($166.2)","$60.3","($104.8)"
"Mallex Smith","Mariners","OF","107.3","627","806.4","($107.7)","$1.4","($105.3)"
"Marcell Ozuna","Cardinals","OF","83.9","595","805.5","($108.6)","$1.4","($106.2)"
"Michael Conforto","Mets","OF","101.2","601","803.3","($110.9)","$1.4","($108.5)"
"Corey Seager","Dodgers","SS","89.3","608","818.6","($95.0)","($15.0)","($109.0)"
"Eddie Rosario","Twins","OF","82.4","611","800.6","($113.7)","$1.4","($111.3)"
