Date,Workout Name,Exercise Name,Set Order,lb,Reps,mi,Seconds,Notes
2016-03-08 10:51:42,"Basic 2","Bench Press (Machine)",0,65.0,10,.0,0,""
2016-03-08 10:51:42,"Basic 2","Bench Press (Machine)",1,80.0,10,.0,0,""
2016-03-08 10:51:42,"Basic 2","Lat Pulldown (Custom)",0,80.0,10,.0,0,""
2016-03-08 10:51:42,"Basic 2","Lat Pulldown (Custom)",1,80.0,10,.0,0,""
2016-03-08 10:51:42,"Basic 2","Shoulder Press (Machine)",0,35.0,10,.0,0,""
2016-03-08 10:51:42,"Basic 2","Shoulder Press (Machine)",1,35.0,10,.0,0,""
2016-03-08 10:51:42,"Basic 2","Bicep Curl (Machine)",0,25.0,10,.0,0,""
2016-03-08 10:51:42,"Basic 2","Bicep Curl (Machine)",1,30.0,10,.0,0,""
2016-03-08 10:51:42,"Basic 2","Tricep Extension",0,45.0,10,.0,0,""
2016-03-08 10:51:42,"Basic 2","Tricep Extension",1,45.0,10,.0,0,""
2016-03-08 10:51:42,"Basic 2","Seated Row (Custom)",0,80.0,10,.0,0,""
2016-03-08 10:51:42,"Basic 2","Seated Row (Custom)",1,80.0,10,.0,0,""
2016-03-10 10:50:16,"Basic 2","Bench Press (Machine)",0,90.0,10,.0,0,""
2016-03-10 10:50:16,"Basic 2","Bench Press (Machine)",1,90.0,10,.0,0,""
2016-03-10 10:50:16,"Basic 2","Lat Pulldown (Custom)",0,80.0,10,.0,0,""
2016-03-10 10:50:16,"Basic 2","Lat Pulldown (Custom)",1,95.0,10,.0,0,""
2016-03-10 10:50:16,"Basic 2","Shoulder Press (Machine)",0,35.0,10,.0,0,""
2016-03-10 10:50:16,"Basic 2","Shoulder Press (Machine)",1,40.0,10,.0,0,""
2016-03-10 10:50:16,"Basic 2","Bicep Curl (Machine)",0,30.0,10,.0,0,""
2016-03-10 10:50:16,"Basic 2","Bicep Curl (Machine)",1,35.0,10,.0,0,""
2016-03-10 10:50:16,"Basic 2","Tricep Extension",0,50.0,10,.0,0,""
2016-03-10 10:50:16,"Basic 2","Tricep Extension",1,50.0,10,.0,0,""
2016-03-10 10:50:16,"Basic 2","Seated Row (Custom)",0,80.0,10,.0,0,""
2016-03-10 10:50:16,"Basic 2","Seated Row (Custom)",1,95.0,10,.0,0,""
2016-03-10 10:50:16,"Basic 2","Crunch",0,.0,46,.0,0,""
2016-03-10 10:50:16,"Basic 2","Crunch",1,.0,25,.0,0,""
2016-03-10 10:50:16,"Basic 2","Crunch",2,.0,25,.0,0,""
2016-03-13 13:27:12,"Basic 2","Bench Press (Machine)",0,85.0,10,.0,0,""
2016-03-13 13:27:12,"Basic 2","Bench Press (Machine)",1,85.0,10,.0,0,""
2016-03-13 13:27:12,"Basic 2","Bench Press (Machine)",2,85.0,10,.0,0,""
2016-03-13 13:27:12,"Basic 2","Lat Pulldown (Custom)",0,85.0,10,.0,0,""
2016-03-13 13:27:12,"Basic 2","Lat Pulldown (Custom)",1,85.0,10,.0,0,""
2016-03-13 13:27:12,"Basic 2","Lat Pulldown (Custom)",2,85.0,10,.0,0,""
2016-03-13 13:27:12,"Basic 2","Bicep Curl (Machine)",0,30.0,10,.0,0,""
2016-03-13 13:27:12,"Basic 2","Bicep Curl (Machine)",1,30.0,10,.0,0,""
2016-03-13 13:27:12,"Basic 2","Bicep Curl (Machine)",2,30.0,10,.0,0,""
2016-03-13 13:27:12,"Basic 2","Tricep Extension",0,50.0,10,.0,0,""
2016-03-13 13:27:12,"Basic 2","Tricep Extension",1,50.0,10,.0,0,""
2016-03-13 13:27:12,"Basic 2","Tricep Extension",2,50.0,10,.0,0,""
2016-03-13 13:27:12,"Basic 2","Seated Row (Custom)",0,85.0,10,.0,0,""
2016-03-13 13:27:12,"Basic 2","Seated Row (Custom)",1,85.0,8,.0,0,""
2016-03-13 13:27:12,"Basic 2","Seated Row (Custom)",2,85.0,8,.0,0,""
2016-03-13 13:27:12,"Basic 2","Shoulder Press (Dumbbell)",0,30.0,10,.0,0,""
