Run,Date,Points,OJ,EL,OJ,EL
1,11/12,47,,,,
2,11/15,56,,,,
3,11/15,60,,,,
4,11/15,65,,,,
5,11/15,67,,,,
6,11/15,91,,,,
7,11/19,60,,,,
8,11/19,93,,,,
9,11/19,88,,,,
10,11/19,77,,,,
11,11/19,67,,,,
12,11/19,116,,,,
13,11/19,139,,,,
14,11/19,108,,,,
15,11/19,60,,,,
16,11/19,76,,,,
17,11/26,88,,,,
18,11/26,90,,,,
19,11/26,89,blue-green,"red, bonus",,
20,11/26,76,blue-green,"red, bonus",,
21,11/26,63,blue ,"red, green","blue, green",red
22,11/26,71,,,"blue, green",red
23,11/26,52,,,,
24,11/26,54,,,,
25,11/26,100,,,,
26,11/29,78,,,,
27,11/29,81,,,,
28,11/29,80,,,,
29,11/29,46,,,,
30,11/29,57,,,,
31,11/29,73,,,,
