"PlayerName","Team","POS","ADP","PA","rPTS","PTS","aPOS","Dollars"
"Mike Trout","Angels","OF","1.1","628","1137.0","$168.7","$13.8","$183.5"
"Jose Ramirez","Indians","3B","5.0","659","1086.0","$124.1","$58.3","$183.5"
"Mookie Betts","Red Sox","OF","2.0","676","1106.0","$141.6","$13.8","$156.4"
"Juan Soto","Nationals","OF","34.7","658","1070.0","$110.2","$13.8","$125.0"
"Bryce Harper","Phillies","OF","16.3","646","1069.0","$109.3","$13.8","$124.1"
"J.T. Realmuto","Phillies","C","42.4","558","784.0","($139.5)","$261.8","$123.2"
"Nolan Arenado","Rockies","3B","7.1","663","1008.0","$56.0","$58.3","$115.4"
"Christian Yelich","Brewers","OF","6.7","673","1055.0","$97.1","$13.8","$111.9"
"Freddie Freeman","Braves","1B","21.8","642","957.0","$11.5","$82.8","$95.3"
"Paul Goldschmidt","Cardinals","1B","19.3","652","956.0","$10.6","$82.8","$94.4"
"Anthony Rizzo","Cubs","1B","38.3","648","949.0","$4.5","$82.8","$88.3"
"Giancarlo Stanton","Yankees","OF/DH","21.8","649","1021.0","$67.4","$13.8","$82.2"
"Francisco Lindor","Indians","SS","17.5","709","1057.0","$98.8","($31.6)","$68.2"
"Jose Altuve","Astros","2B","15.9","644","924.0","($17.3)","$65.3","$49.0"
"Charlie Blackmon","Rockies","OF","28.8","660","981.0","$32.5","$13.8","$47.3"
"Cody Bellinger","Dodgers","1B/OF","43.1","624","981.0","$32.5","$13.8","$47.3"
"Kris Bryant","Cubs","3B/OF","32.8","655","927.0","($14.7)","$58.3","$44.7"
"Ozzie Albies","Braves","2B","64.0","686","915.0","($25.2)","$65.3","$41.2"
"Trea Turner","Nationals","SS","7.1","685","1021.0","$67.4","($31.6)","$36.8"
"Gary Sanchez","Yankees","C","53.4","467","677.0","($232.9)","$261.8","$29.8"
"Andrew Benintendi","Red Sox","OF","31.0","665","956.0","$10.6","$13.8","$25.4"
"Whit Merrifield","Royals","2B/OF","30.5","670","890.0","($47.0)","$65.3","$19.3"
"Ronald Acuna Jr.","Braves","OF","8.0","614","949.0","$4.5","$13.8","$19.3"
"Rhys Hoskins","Phillies","OF","39.7","638","945.0","$1.0","$13.8","$15.8"
"Salvador Perez","Royals","C/DH","566.9","544","650.0","($256.5)","$261.8","$6.2"
"Alex Bregman","Astros","3B/SS","14.0","671","984.0","$35.1","($31.6)","$4.5"
"Manny Machado","Padres","SS","21.3","686","980.0","$31.6","($31.6)","$1.0"
"J.D. Martinez","Red Sox","OF/DH","6.1","596","928.0","($13.8)","$13.8","$1.0"
"Eugenio Suarez","Reds","3B","55.4","624","877.0","($58.3)","$58.3","$1.0"
"Javier Baez","Cubs","2B/3B/SS","18.5","581","869.0","($65.3)","$65.3","$1.0"
"Matt Carpenter","Cardinals","1B/3B","75.2","597","849.0","($82.8)","$82.8","$1.0"
"Willson Contreras","Cubs","C","129.7","526","644.0","($261.8)","$261.8","$1.0"
"Yasmani Grandal","Brewers","C","113.5","475","640.0","($265.2)","$261.8","($2.5)"
"Brian Dozier","Nationals","2B","144.1","623","858.0","($74.9)","$65.3","($8.6)"
"Matt Olson","Athletics","1B","178.0","614","830.0","($99.4)","$82.8","($15.6)"
"Joey Votto","Reds","1B","66.2","589","827.0","($102.0)","$82.8","($18.2)"
