"PlayerName","Team","POS","ADP","IP","rPTS","PTS","aPOS","Dollars"
"Max Scherzer","Nationals","SP","4.7","193","1132.0","$164.3","$108.1","$273.4"
"Jacob deGrom","Mets","SP","10.3","196","1078.0","$117.2","$108.1","$226.2"
"Chris Sale","Red Sox","SP","11.9","182","1062.0","$103.2","$108.1","$212.3"
"Justin Verlander","Astros","SP","19.9","188","1019.0","$65.6","$108.1","$174.7"
"Gerrit Cole","Astros","SP","22.3","188","1014.0","$61.3","$108.1","$170.4"
"Corey Kluber","Indians","SP","24.8","195","990.0","$40.3","$108.1","$149.4"
"Luis Severino","Yankees","SP","79.5","186","966.0","$19.4","$108.1","$128.5"
"Aaron Nola","Phillies","SP","25.0","192","963.0","$16.8","$108.1","$125.8"
"German Marquez","Rockies","SP","79.5","191","953.0","$8.0","$108.1","$117.1"
"Carlos Carrasco","Indians","SP","34.2","180","931.0","($11.2)","$108.1","$97.9"
"Patrick Corbin","Nationals","SP","48.4","181","909.0","($30.4)","$108.1","$78.7"
"Trevor Bauer","Indians","SP","28.2","172","905.0","($33.9)","$108.1","$75.2"
"Blake Snell","Rays","SP","29.6","167","896.0","($41.7)","$108.1","$67.4"
"Jack Flaherty","Cardinals","SP","52.0","169","879.0","($56.6)","$108.1","$52.5"
"Chris Archer","Pirates","SP","131.9","169","853.0","($79.3)","$108.1","$29.8"
"Jose Berrios","Twins","SP","65.2","183","853.0","($79.3)","$108.1","$29.8"
"Clayton Kershaw","Dodgers","SP","64.4","164","843.0","($88.0)","$108.1","$21.1"
"Robbie Ray","Diamondbacks","SP","123.5","149","838.0","($92.4)","$108.1","$16.7"
"Mike Clevinger","Indians","SP","57.3","177","828.0","($101.1)","$108.1","$8.0"
"Zack Greinke","Diamondbacks","SP","65.3","180","820.0","($108.1)","$108.1","$1.0"
"Noah Syndergaard","Mets","SP","35.7","159","810.0","($116.8)","$108.1","($7.7)"
"Tyler Glasnow","Rays","SP","160.6","153","806.0","($120.3)","$108.1","($11.2)"
"Mike Foltynewicz","Braves","SP","141.7","167","799.0","($126.4)","$108.1","($17.3)"
"Shane Bieber","Indians","SP","127.0","187","798.0","($127.3)","$108.1","($18.2)"
"Jose Quintana","Cubs","SP","196.1","174","798.0","($127.3)","$108.1","($18.2)"
"Carlos Martinez","Cardinals","SP","294.8","168","796.0","($129.1)","$108.1","($20.0)"
"Jon Gray","Rockies","SP","197.3","174","795.0","($129.9)","$108.1","($20.8)"
"Jameson Taillon","Pirates","SP","55.8","173","778.0","($144.8)","$108.1","($35.7)"
"Stephen Strasburg","Nationals","SP","55.8","145","769.0","($152.6)","$108.1","($43.5)"
"David Price","Red Sox","SP","99.4","164","757.0","($163.1)","$108.1","($54.0)"
"Walker Buehler","Dodgers","SP","37.2","141","757.0","($163.1)","$108.1","($54.0)"
"Kyle Hendricks","Cubs","SP","132.5","177","755.0","($164.8)","$108.1","($55.7)"
"Freddy Peralta","Brewers","SP","367.1","132","754.0","($165.7)","$108.1","($56.6)"
"James Paxton","Yankees","SP","51.8","147","754.0","($165.7)","$108.1","($56.6)"
"Kevin Gausman","Braves","SP","253.0","174","752.0","($167.5)","$108.1","($58.4)"
"Luis Castillo","Reds","SP","120.1","161","750.0","($169.2)","$108.1","($60.1)"
"Zack Wheeler","Mets","SP","81.9","163","750.0","($169.2)","$108.1","($60.1)"
"Dallas Keuchel","","SP","227.8","184","749.0","($170.1)","$108.1","($61.0)"
"Cole Hamels","Cubs","SP","152.5","167","745.0","($173.6)","$108.1","($64.5)"
"Rick Porcello","Red Sox","SP","172.9","175","745.0","($173.6)","$108.1","($64.5)"
"Nick Pivetta","Phillies","SP","143.2","158","741.0","($177.1)","$108.1","($68.0)"
"Zack Godley","Diamondbacks","SP","259.6","159","738.0","($179.7)","$108.1","($70.6)"
"Miles Mikolas","Cardinals","SP","95.6","176","722.0","($193.7)","$108.1","($84.6)"
"Masahiro Tanaka","Yankees","SP","127.8","157","720.0","($195.4)","$108.1","($86.3)"
"Dylan Bundy","Orioles","SP","378.5","164","717.0","($198.0)","$108.1","($88.9)"
"Andrew Heaney","Angels","SP","247.0","162","716.0","($198.9)","$108.1","($89.8)"
"Touki Toussaint","Braves","SP","387.1","153","715.0","($199.8)","$108.1","($90.7)"
"Michael Kopech","White Sox","SP","600.8","140","707.0","($206.8)","$108.1","($97.7)"
"Kenta Maeda","Dodgers","SP","192.6","144","704.0","($209.4)","$108.1","($100.3)"
"Jon Lester","Cubs","SP","215.7","165","703.0","($210.2)","$108.1","($101.1)"
"Eduardo Rodriguez","Red Sox","SP","148.8","144","700.0","($212.9)","$108.1","($103.8)"
"Charlie Morton","Rays","SP","113.9","137","693.0","($219.0)","$108.1","($109.9)"
"Sean Newcomb","Braves","SP","267.7","154","692.0","($219.8)","$108.1","($110.8)"
"Kyle Freeland","Rockies","SP","173.2","180","691.0","($220.7)","$108.1","($111.6)"
"J.A. Happ","Yankees","SP","138.5","153","690.0","($221.6)","$108.1","($112.5)"
"Jakob Junis","Royals","SP","388.2","165","683.0","($227.7)","$108.1","($118.6)"
"Julio Teheran","Braves","SP","279.7","165","674.0","($235.6)","$108.1","($126.5)"
"Merrill Kelly","Diamondbacks","SP","999.0","169","673.0","($236.4)","$108.1","($127.3)"
"Reynaldo Lopez","White Sox","SP","325.6","170","667.0","($241.7)","$108.1","($132.6)"
"Kyle Gibson","Twins","SP","283.8","171","662.0","($246.0)","$108.1","($136.9)"
"Gio Gonzalez","Yankees","SP","546.6","158","661.0","($246.9)","$108.1","($137.8)"
"Jhoulys Chacin","Brewers","SP","264.8","166","661.0","($246.9)","$108.1","($137.8)"
"Madison Bumgarner","Giants","SP","97.6","147","657.0","($250.4)","$108.1","($141.3)"
"Lance McCullers Jr.","Astros","SP","999.0","128","652.0","($254.8)","$108.1","($145.7)"
